row_id	label	notes	module	rung	member	status	control_flags	bullet	method_source_head
sava/sava-core#269#InstructionRecord.toString	present	The shown body contains the `data != null && len > 0` guard selecting Base64 encoding of the copied range, with the `""` fast-path constant as the else value — exactly the constructs the note names for the len == 0 case.	sava/sava-core	3	InstructionRecord.toString	RESOLVED		- `InstructionRecord.toString` 188 (3 keys): at `len == 0` the base64 of an empty range equals the `""` fast-path constant.	// InstructionRecord lines 196-217   @Override   public String toString() {     final var accountsJson = accounts != null && !accounts.isEmpty()         ? accounts.stream()         .map(accountMeta -> accountMeta == null ? "?" : accountMeta.toString())         .collect(Collectors.joining(",", "[", "
sava/sava-core#273#TransactionRecord.lambda$static$0	cannot	The note asserts behaviour of `Map.merge` never passing a null existing value to a remapping function, but no remapping lambda is shown: the displayed members are the MSG_HEADER_LENGTH/VERSIONED_MSG_HEADER_LENGTH constants plus a declaration list of other constants and the two comparator lambdas. Th	sava/sava-core	3	TransactionRecord.lambda$static$0	RESOLVED		- `TransactionRecord.lambda$static$0` 29: `Map.merge` never invokes the remapping function with a null existing value.	// TransactionRecord lines 24-24   static final int MSG_HEADER_LENGTH = 3;  // TransactionRecord lines 25-25   static final int VERSIONED_MSG_HEADER_LENGTH = 1 + MSG_HEADER_LENGTH;  // also declared: static final int BASE_LOOKUP_TABLE_LEN = PublicKey.PUBLIC_KEY_LENGTH + 2 // also declared: static fi
sava/sava-core#275#TransactionRecord.sign			sava/sava-core	3	TransactionRecord.sign	MOVED_MEMBER	member_missing	- `TransactionRecord.sign` 156: widening the signer scan by one slot probes an account that cannot equal a distinct signer key.	// `sign` is not declared in TransactionRecord at HEAD (now declared by [BaseTransaction, KeyPairSigner, Signer, Transaction]). Members declared now: //   static final int MSG_HEADER_LENGTH = 3 //   static final int VERSIONED_MSG_HEADER_LENGTH = 1 + MSG_HEADER_LENGTH //   static final int BASE_LOOKU
sava/sava-core#277#AccountIndexLookupTableView.compareTo	present	The shown body has the `o instanceof AccountIndexLookupTableView view` branch, the else branch comparing against `o.toByteArray()`, and the fixed view-vs-view comparison reading `view.lookupTable` (not `this.lookupTable`), matching the note's description of the 2026-07-21 fix. Nothing shown contradi	sava/sava-core	3	AccountIndexLookupTableView.compareTo	RESOLVED	identifier_missing:viewCompareToReadsTheOtherViewsBackingTable	- `AccountIndexLookupTableView.compareTo` 25: forcing the `instanceof` view branch off routes through `toByteArray`, result-identical for every pair of views since the 2026-07-21 fix. (The view-vs-view branch used to compare `this.lookupTable` against itself rather than `view.lookupTable` — flagged 2026-07-18, owner-approved and fixed 2026-07-21, cross-table ordering pinned by `viewCompareToReadsTheOtherViewsBackingTable`.)	// AccountIndexLookupTableView lines 23-30   @Override   public int compareTo(final PublicKey o) {     if (o instanceof AccountIndexLookupTableView view) {       return Arrays.compare(lookupTable, offset, offset + PUBLIC_KEY_LENGTH, view.lookupTable, view.offset, view.offset + PUBLIC_KEY_LENGTH);   
sava/sava-core#286#TransactionSkeleton.deserializeSkeleton	absent	The note names two mutation-target members: `TransactionSkeleton.deserializeSkeleton` (shown, present) and `TransactionSkeletonRecord` (6 keys). `TransactionSkeletonRecord` appears nowhere in the code shown (control flag identifier_missing confirms), `sibling_source` is null even though the harness 	sava/sava-core	3	TransactionSkeleton.deserializeSkeleton	RESOLVED	identifier_missing:TransactionSkeletonRecord	- `TransactionSkeleton.deserializeSkeleton` (7 keys) and `TransactionSkeletonRecord` (6 keys): the long-standing skeleton survivors — offset arithmetic and parse boundaries a length assertion cannot distinguish (see the Transaction hardening section of `AGENTS.md`). Equivalence-triage candidates rather than kill candidates.	// TransactionSkeleton lines 41-185   static TransactionSkeleton deserializeSkeleton(final byte[] data) {     // The v1 version byte 0x81 also opens a legacy message's compact-u16 signature count: 0x81 0x01     // is 129 signatures, and 0x81 0x00 is the non-canonical encoding of 1. Only the latter i
sava/sava-core#328#Jex.isValid	present	The body is a do-while with two `hex.charAt(index++)` reads per iteration and the `while (index < len)` exit, so the second `index++` the note targets and the `len` bound it names are both present; nothing in the code contradicts the note.	sava/sava-core	3	Jex.isValid	RESOLVED		- `Jex.isValid:571` (`IncrementsMutator`, second `index++` → `index--`): the do-while cursor oscillates over the same valid digit pair and never reaches `len`.	// Jex lines 554-577   public static boolean isValid(final CharSequence hex) {     if (hex == null) {       return false;     }     final int len = hex.length();     if ((len & 1) != 0) {       return false;     }     if (len == 0) {       return true;     }     int index = 0;     do {       char ch
sava/sava-core#331#Base58.limbsLength	present	The limb-count allocation estimate the note names is present: `(int) ((numDigits * 5_858L / 1_000 + 1 + 31) >> 5)` is exactly the arithmetic a MathMutator would inflate, and the comment states the never-under-allocate contract. Only the cited line number (94 vs body 95-98) drifts, which does not aff	sava/sava-core	3	Base58.limbsLength	RESOLVED		- `Base58.limbsLength:94` (`MathMutator`): inflates the limb-count allocation estimate, so the run crawls under allocation/GC instead of failing — the known `SURVIVED`↔`TIMED_OUT` flapper; both baseline copies are flip insurance (see `HARDENING_NOTES.md`, timeout budgets).	// Base58 lines 95-98   static int limbsLength(final int numDigits) {     // 5858/1000 > log2(58), +1 rounds the bit bound up, so the limb count never under-allocates.     return (int) ((numDigits * 5_858L / 1_000 + 1 + 31) >> 5);   }
sava/sava-core#337#AddressLookupTableOverlay.lambda$keysToString$1	present	`IntStream.iterate(LOOKUP_TABLE_META_SIZE, i -> i < to, i -> i + PUBLIC_KEY_LENGTH)`, the `to` bound, and the `Collectors.joining` accumulation the note names are all in the shown body.	sava/sava-core	3	AddressLookupTableOverlay.lambda$keysToString$1	RESOLVED		- `AddressLookupTableOverlay.lambda$keysToString$1:128` (`PrimitiveReturnsMutator` on the `IntStream.iterate` step `i -> i + PUBLIC_KEY_LENGTH` → `0`): the offset cursor collapses to 0, stays below `to` forever, and the join accumulates keys until the watchdog.	// AddressLookupTableOverlay lines 125-132   @Override   protected String keysToString() {     final int to = LOOKUP_TABLE_META_SIZE + (numAccounts() << 5);     return IntStream.iterate(LOOKUP_TABLE_META_SIZE, i -> i < to, i -> i + PUBLIC_KEY_LENGTH)         .mapToObj(i -> readPubKey(data, i))      
sava/sava-core#343#SubsequenceRecord.formatCharOptions	present	The row loop `for (int level = 0; level < Subsequence.MAX_OPTIONS; ++level)` the ORDER_IF mutant targets, and the growing `StringBuilder` the note names, are both present in the shown body.	sava/sava-core	3	SubsequenceRecord.formatCharOptions	RESOLVED		- `SubsequenceRecord.formatCharOptions:148` (`ORDER_IF` on `level < Subsequence.MAX_OPTIONS`): the row loop loses its exit and appends rows until the watchdog — the growing `StringBuilder` races it, so this member flips `KILLED`↔`TIMED_OUT` between runs (the known flapper in the `HARDENING_NOTES.md` mode comparisons).	// SubsequenceRecord lines 146-162   static String formatCharOptions(final char[][] charOptions) {     final var table = new StringBuilder();     for (int level = 0; level < Subsequence.MAX_OPTIONS; ++level) {       if (level > 0) {         table.append('\n');       }       table.append("  ");      
sava/sava-core#40#Base58.decode	present	The named constructs are all shown: the sizing call `limbsLength(to - i)`, `final int used = toLimbs(input, i, to, limbs)`, and `toBytes(limbs, used, i - from)` reading back only `used` limbs. The extra overloads are listed as also declared, consistent with the note's multiple variants.	sava/sava-core	3	Base58.decode	RESOLVED		- `Base58.decode` (all six variants): the limb-array sizing `limbsLength(to - i)` → `to + i` only over-allocates; `used` from `toLimbs` bounds what is read back out.	// Base58 lines 184-186   public static byte[] decode(final char[] input) {     return decode(input, 0, input.length);   }  // Base58 lines 188-202   public static byte[] decode(final char[] input, final int from, final int len) {     if (len == 0) {       return new byte[0];     }     final int to 
sava/sava-core#43#Base58.limbsLength	present	Both mutated operators the note names, `/ 1_000` and `>> 5`, are in the shown expression, and the never-under-allocate contract is stated in the code comment. `TestAllocation` is named as a pattern in another project (json-iterator) and as a hypothetical ("could convert"), not as a construct expecte	sava/sava-core	3	Base58.limbsLength	RESOLVED	identifier_missing:TestAllocation	- `Base58.limbsLength`: `/ 1_000` → `* 1_000` and `>> 5` → `<< 5` inflate the bit-bound estimate. The formula's contract is "never under-allocate"; these push it further over. An allocation-bound assertion could convert this family to killable (json-iterator's `TestAllocation` pattern) — accepted instead because decode has no zero-allocation contract.	// Base58 lines 95-98   static int limbsLength(final int numDigits) {     // 5858/1000 > log2(58), +1 rounds the bit bound up, so the limb count never under-allocates.     return (int) ((numDigits * 5_858L / 1_000 + 1 + 31) >> 5);   }
sava/sava-core#51#Base58.toLimbs	present	The 5-digit chunk batching the note names is present in both shown bodies as `for (++i; numDigits < 5 && i < to; ++numDigits, ++i)`, together with the `mulAdd(limbs, used, POW_58[numDigits], chunk)` call the degraded path would use with POW_58[1]; a third byte[] overload is listed as declared, match	sava/sava-core	3	Base58.toLimbs	RESOLVED		- `Base58.toLimbs` (three source variants): disabling the 5-digit chunk batching (`numDigits < 5` / `i < to` → false) degrades to per-digit `mulAdd` with `POW_58[1]`; same accumulated limbs, more calls.	// Base58 lines 114-125   private static int toLimbs(final char[] input, int i, final int to, final int[] limbs) {     int used = 0;     while (i < to) {       int chunk = digit(input[i], i);       int numDigits = 1;       for (++i; numDigits < 5 && i < to; ++numDigits, ++i) {         chunk = chunk 
sava/sava-core#54#Jex.decodePrimIterChecked	present	Both shown overloads begin with the `if (len == 0)` fast path the note names (returning `new byte[0]` and returning void respectively), and both fall through to a general loop that yields the same empty result.	sava/sava-core	3	Jex.decodePrimIterChecked	RESOLVED		- `Jex.decodePrimIterChecked` (both variants): removing the `len == 0` fast path routes empty input through the general loop, which produces the same empty result.	// Jex lines 903-926   public static byte[] decodePrimIterChecked(final CharSequence hex) {     final int len = hex.length();     if (len == 0) {       return new byte[0];     }     if ((len & 1) != 0) {       throw createIllegalLengthException(len);     }     final byte[] data = new byte[len >> 1];
sava/sava-core#57#TokenMetadata.read	present	The `if (numExtras == 0) { additionalMetadata = Map.of(); }` fast path the note names is present, with the else branch building the map the note describes as the alternate route.	sava/sava-core	3	TokenMetadata.read	RESOLVED		- `TokenMetadata.read`: removing the `numExtras == 0` → `Map.of()` fast path builds the same empty immutable map via the zero-length entry array.	// TokenMetadata lines 32-99   public static TokenMetadata read(final byte[] data, final int offset) {     if (data == null || data.length == 0) {       return null;     }      int i = offset;      final var updateAuthority = readPubKey(data, i);     i += PUBLIC_KEY_LENGTH;      final var mint = Pub
sava/sava-core#67#Token2022.parseExtensions	present	The guard the note names is present as `if (extensionData == null) { throw ... }` (the note states it as the `extensionData != null` condition the mutant forces true), and the per-type `read(data, i)` calls that can return null are shown; nothing in the code contradicts the note.	sava/sava-core	3	Token2022.parseExtensions	RESOLVED		- `Token2022.parseExtensions`: forcing the `extensionData != null` guard true — the extension `read(data, offset)` null returns fire only on null/empty whole buffers, which `parseExtensions` has already excluded.	// Token2022 lines 79-163   public static Set<TokenExtension> parseExtensions(final byte[] data, final int offset) {     final var extensions = new LinkedHashSet<TokenExtension>();     final var seenExtensionTypes = new HashSet<Integer>();     // Too few bytes left for a type word ends the walk rath
sava/sava-core#70#Codec.decode32	present	The named constructs are all shown: the three leading `car25519(t)` passes and the exact double conditional-subtract reduction (`for (int j = 0, b; j < 2; j++)` with `sel25519(t, m, 1 - b)`) in sibling_source, and the 32-byte `Codec.decode32` readers in method_source.	sava/sava-core	3	Codec.decode32	RESOLVED		- `Ed25519Util.pack25519`: dropping one of the three leading `car25519` passes, and its `changed conditional boundary`: the remaining passes plus the exact double conditional-subtract reduction still fully normalize every limb state reachable from 32-byte `Codec.decode32` inputs.	// Codec lines 15-23   static int decode32(final byte[] bs, int off) {     int var2 = bs[off] & 255;     ++off;     var2 |= (bs[off] & 255) << 8;     ++off;     var2 |= (bs[off] & 255) << 16;     ++off;     return var2 | bs[off] << 24;   }  // Codec lines 25-33   static void decode32(final byte[] bs
sava/sava-core#70#Ed25519Util.pack25519	present	pack25519 in method_source contains the three `car25519(t)` passes and the two-pass conditional-subtract reduction with `sel25519`, and `Codec.decode32` is shown as the sibling, so every construct the note names is visible.	sava/sava-core	3	Ed25519Util.pack25519	RESOLVED		- `Ed25519Util.pack25519`: dropping one of the three leading `car25519` passes, and its `changed conditional boundary`: the remaining passes plus the exact double conditional-subtract reduction still fully normalize every limb state reachable from 32-byte `Codec.decode32` inputs.	// Ed25519Util lines 379-400   private static void pack25519(final byte[] o, final long[] n) {     final long[] m = new long[16], t = new long[16];     System.arraycopy(n, 0, t, 0, 16);     car25519(t);     car25519(t);     car25519(t);     for (int j = 0, b; j < 2; j++) {       m[0] = t[0] - 0xffed
sava/sava-rpc#258#RpcCustomError.parseError	cannot	The two constructs that can be checked are present: the clamp `if (code < Integer.MIN_VALUE || code > Integer.MAX_VALUE) return Unknown.INSTANCE;` in the long overload, and `default -> Unknown.INSTANCE` in the int switch. But the note's load-bearing claim of 'identical iterator handling (`ji.skip()`	sava/sava-rpc	3	RpcCustomError.parseError	RESOLVED	identifier_missing:ParseCustomErrorCodeTests	- `RpcCustomError.parseError` (both overloads), `changed conditional boundary` on the long→int clamp: at the exact `Integer.MIN_VALUE` / `MAX_VALUE` boundaries the mutant returns `Unknown` directly, and the original reaches the switch `default`, which is also `Unknown` — with identical iterator handling (`ji.skip()` on both routes). No defined custom-error code sits at an int boundary, so the routes cannot diverge. The killable near-misses — codes aliasing real ones under `(int)` truncation, `code ± (1L << 32)` — are pinned by `ParseCustomErrorCodeTests`.	// RpcCustomError lines 35-55   static RpcCustomError parseError(final int code) {     return switch (code) {       case -32001 -> BlockCleanedUp.INSTANCE;       case -32003 -> TransactionSignatureVerificationFailure.INSTANCE;       case -32004 -> BlockNotAvailable.INSTANCE;       case -32006 -> Tra
sava/sava-rpc#267#Lamports.amount	present	The named constructs are all in the shown body: the `lamports < 0` branch, the `ByteUtil.toUnsignedBigInteger(lamports)` signed route and the `BigInteger.valueOf(lamports)` route. Nothing in the code contradicts the note; the cross-repo sava-core test citation is outside the code shown but no named 	sava/sava-rpc	3	Lamports.amount	RESOLVED		- `Lamports.amount`, boundary/forced-true on `lamports < 0`: both branches build the same `BigInteger` for every long, so the signed branch is allocation routing only — `valueOf` is cheaper than widening the bits. The agreement is not just prose: sava-core's `ByteUtilTests.toUnsignedBigIntegerAgreesWithValueOfWhereCallersBranch` sweeps `valueOf` vs the widening over 10k seeded non-negative values plus boundaries on every build. See the decimal suite notes in sava-core for why the allocation-bound technique that would kill these was tried and reverted.	// Lamports lines 22-25   @Override   public BigInteger amount() {     return lamports < 0 ? ByteUtil.toUnsignedBigInteger(lamports) : BigInteger.valueOf(lamports);   }
sava/sava-rpc#275#JsonUtil.parseEncodedData	cannot	The note's constructs (`ji.readArray()` forced-true, the NO_COVERAGE null return below it, the single-element-array throwing branch) live in the two `(ji, next, ...)` overloads that the bundle lists as declared but whose bodies are not shown; the two shown bodies are pure delegators. Presence cannot	sava/sava-rpc	3	JsonUtil.parseEncodedData	RESOLVED		- `JsonUtil.parseEncodedData`, forced-true on `ji.readArray()` plus the `NO_COVERAGE` null-return below it: both sit on the single-element-array branch, which always throws (the known parser quirk recorded in `AGENTS.md` — real providers send `[data, encoding]` pairs). Both routes reject, and the branch's return value is never observable. Killing these means changing the quirk, which is deliberately unchanged.	// JsonUtil lines 43-46   public static byte[] parseEncodedData(final JsonIterator ji) {     final var next = ji.whatIsNext();     return parseEncodedData(ji, next, null);   }  // JsonUtil lines 48-52   static byte[] parseEncodedData(final JsonIterator ji,                                  final Zstd
sava/sava-rpc#281#JsonUtil.parseEncodedData	cannot	`ji.reset(mark2).skipRestOfArray()` and `mark2` would sit in the unshown `(ji, next, ...)` overloads (4 declarations, only 2 delegating bodies shown), and the named test `skippedValuesLeaveTheIteratorAligned` is test code not shown at all. The identifier_missing flags only reflect the two delegator 	sava/sava-rpc	3	JsonUtil.parseEncodedData	RESOLVED	identifier_missing:reset identifier_missing:skipRestOfArray identifier_missing:mark2 identifier_missing:skippedValuesLeaveTheIteratorAligned	- `JsonUtil.parseEncodedData:37`, `NakedReceiverMutator` on `ji.reset(mark2).skipRestOfArray()` (2026-07-22): dropping the `reset` makes `skipRestOfArray` re-skip the elements between the cursor (after the decoded data element) and `mark2` instead of starting there — either way the iterator stops after the array's `]`, so the terminal position is identical. The line is covered: `skippedValuesLeaveTheIteratorAligned` parses a field *after* the array and killed the sibling `skipRestOfArray`-drop on the same line; only the reset-drop is position-equivalent.	// JsonUtil lines 43-46   public static byte[] parseEncodedData(final JsonIterator ji) {     final var next = ji.whatIsNext();     return parseEncodedData(ji, next, null);   }  // JsonUtil lines 48-52   static byte[] parseEncodedData(final JsonIterator ji,                                  final Zstd
sava/sava-rpc#290#JsonUtil.parseEncodedData	cannot	The `System.Logger::log` call on the unsupported-encoding fallback would be in the unshown overloads that do the actual decoding; the two shown bodies just delegate, so the note's construct cannot be checked from the code shown.	sava/sava-rpc	3	JsonUtil.parseEncodedData	RESOLVED		- `JsonUtil.parseEncodedData`, removed `System.Logger::log` call on the unsupported-encoding fallback: logging only.	// JsonUtil lines 43-46   public static byte[] parseEncodedData(final JsonIterator ji) {     final var next = ji.whatIsNext();     return parseEncodedData(ji, next, null);   }  // JsonUtil lines 48-52   static byte[] parseEncodedData(final JsonIterator ji,                                  final Zstd
sava/sava-rpc#292#JsonUtil.toJsonIntArray	present	The exact capacity expression `new StringBuilder((data.length << 2) + 2)` is in the shown body, and it is a StringBuilder sizing argument as the note says. Nothing contradicts it.	sava/sava-rpc	3	JsonUtil.toJsonIntArray	RESOLVED		- `JsonUtil.toJsonIntArray`, capacity math `(data.length << 2) + 2`: `StringBuilder` sizing only; the builder grows as needed.	// JsonUtil lines 120-139   public static String toJsonIntArray(final byte[] data) {     if (data == null) {       return "null";     } else if (data.length == 0) {       return "[]";     } else {       final var builder = new StringBuilder((data.length << 2) + 2);       builder.append('[');       f
sava/sava-rpc#317#SolanaJsonRpcWebsocket.run	absent	The note names a while-condition loop inside `run` (the loop that never exits when forced always-true), but the single shown `run()` body contains no loop at all: it delegates to `runLoop(sleepNanos)` inside a try/catch/finally. The construct has moved out of the code shown, and line_hints_inside_bo	sava/sava-rpc	3	SolanaJsonRpcWebsocket.run	RESOLVED		- `SolanaJsonRpcWebsocket.run:205` while-condition forced always-true (`RemoveConditionalMutator` `EQUAL_IF`): the loop that never exits, caught by PIT's timeout — the stable detection documented in the ws triage section above. (The class holds for every member below.)	// SolanaJsonRpcWebsocket lines 927-949   @Override   public void run() {     try {       final long sleepNanos = MILLISECONDS.toNanos(timings.subscriptionAndPingCheckDelay());       runLoop(sleepNanos);     } catch (final InterruptedException e) {       // exit     } catch (final RuntimeException e
http-servers/http-servers-jdk#33#JdkQueryHandler.handle	absent	The note names a blocking branch calling `process(exchange)` and a non-blocking branch calling `executor.execute(...)`. The shown `handle` body has neither: no `process`, no executor, no blocking/non-blocking split. It synchronously calls `queryHandler.httpResponse(...)`, sets headers and writes the	http-servers/http-servers-jdk	2	JdkQueryHandler.handle	RESOLVED		- `JdkQueryHandler.handle` 44, 46 (`VoidMethodCallMutator`) — 44 drops `process(exchange)` on the blocking branch, 46 drops the `executor.execute(...)` that carries the non-blocking one. Either way no handler ever runs and nothing writes response headers.	// JdkQueryHandler lines 26-52   @Override   public void handle(final HttpExchange exchange) throws IOException {     // a RuntimeException propagates to JdkController's guard, which answers 500; a failed body     // read propagates as JdkRequest.BodyReadException, for which it closes the connection
http-servers/http-servers-jdk#37#JdkController.serverError	absent	The note relies on `JdkController.serverError(exchange)` as the remaining answer, but the header states `serverError` is not declared in JdkController at HEAD (present at c166295, gone now), matching control_flag member_missing. The sibling `JdkQueryHandler.handle` shown also contains no `process(ex	http-servers/http-servers-jdk	2	JdkController.serverError	REMOVED_MEMBER	member_missing	- `JdkQueryHandler.lambda$handle$0` 48, 52 (`VoidMethodCallMutator`) — the same pair one frame deeper inside the executor task: 48 drops `process(exchange)`, 52 drops the `JdkController.serverError(exchange)` that is the only remaining answer once the controller's frame is gone.	// `serverError` is not declared in JdkController at HEAD (existed at c166295, absent at HEAD). Members declared now: //   private static final System.Logger logger = System.getLogger(JdkController.class.getName()) //   private final HandlerMap<HttpHandler> handlerMap //   JdkController(final Handle
