row_id	label	notes	repo	member	comment	member_source
ravina#ravina-solana/src/main/java/software/sava/services/solana/epoch/EpochInfoService.java#EpochInfoService.numSamples(Duration)			ravina	EpochInfoService.numSamples(Duration)	Performance samples arrive one per [EpochInfoServiceImpl#SECONDS_PER_SAMPLE], so the configured window decides how many to request. A window shorter than one sample used to truncate to zero, which asks the RPC for nothing and silently leaves slot timing on its configured default forever.	  static int numSamples(final Duration slotSampleWindow) {     final long numSamples = slotSampleWindow.toSeconds() / SECONDS_PER_SAMPLE;     if (numSamples < 1) {       throw new IllegalArgumentException(String.format(           "A slot sample window of %s yields no performance samples; it must cover at least one %d second sample.",           slotSampleWindow, SECONDS_PER_SAMPLE       ));     } else if (numSamples > MAX_PERFORMANCE_SAMPLES) {       throw new IllegalArgumentException(String.format(           "A slot sample window of %s needs %d performance samples; the RPC returns at most %d.",           slotSampleWindow, numSamples, MAX_PERFORMANCE_SAMPLES       ));     }     return (int) numSamples;   }
ravina#ravina-solana/src/main/java/software/sava/services/solana/epoch/EpochInfoServiceImpl.java#EpochInfoServiceImpl.newCycle(Epoch, long)			ravina	EpochInfoServiceImpl.newCycle(Epoch, long)	The state one checkCycle carries into the next. Mutable and package-private rather than re-threaded through a return value, so a test can seed it and drive the loop interior one cycle at a time on its own thread — the alternative being a service thread the test races and spin-waits on, which makes every interior mutant's detection a function of machine load rather than of what the tests assert.	  static final class Cycle {      private Epoch earliestSample;     private Epoch previousSample;     private Epoch latestSample;     private SlotPerformanceStats slotStats;     private long meanMillisPerSlot;     private long fetchSamplesAfter;     private long endsAt;      private Cycle(final Epoch sample,                   final SlotPerformanceStats slotStats,                   final long meanMillisPerSlot,                   final long fetchSamplesAfter) {       this.earliestSample = sample;       this.previousSample = sample;       this.latestSample = sample;       this.slotStats = slotStats;       this.meanMillisPerSlot = meanMillisPerSlot;       this.fetchSamplesAfter = fetchSamplesAfter;       this.endsAt = sample.endsAt();     }      Epoch latestSample() {       return latestSample;     }   }    /// Seeds a [Cycle] from the first sample. `calculateStats` yields null when   /// every sample is filtered out — notably at the opening slots of an epoch,   /// which it skips deliberately. [Epoch] already falls back to the configured   /// default; the loop must too, or it dies with an NPE exactly when a new   /// epoch begins.   private Cycle newCycle(final Epoch sample, final long fetchSamplesAfter) {     final var slotStats = sample.slotStats();     return new Cycle(         sample,         slotStats,         slotStats == null ? defaultMillisPerSlot : slotStats.mean(),         fetchSamplesAfter     );   }
sava#sava-core/src/main/java/software/sava/core/accounts/PublicKey.java#PublicKey.fromBase58Encoded(byte[], int, int)			sava	PublicKey.fromBase58Encoded(byte[], int, int)	Decodes a <METHOD> key from ASCII text held in a byte array, e.g. a raw JSON or wire buffer.	  static PublicKey fromBase58Encoded(final byte[] base58, final int from, final int len) {     final byte[] publicKey = new byte[PUBLIC_KEY_LENGTH];     Base58.decode(base58, from, len, publicKey);     return new PublicKeyBytes(publicKey);   }
sava#sava-core/src/main/java/software/sava/core/accounts/token/Token2022.java#Token2022.padLengthForMultisig(byte[], int, int)			sava	Token2022.padLengthForMultisig(byte[], int, int)	Writes the empty type word `adjustLengthForMultisig` reserves, when the bytes written so far land on the multisig length. Returns the total including it.	  static int padLengthForMultisig(final byte[] data, final int offset, final int written) {     if (written != MULTISIG_BYTES) {       return written;     }     ByteUtil.putInt16LE(data, offset + written, 0);     return written + Short.BYTES;   }
sava#sava-core/src/main/java/software/sava/core/accounts/token/TokenAccount.java#TokenAccount.parseState(byte)			sava	TokenAccount.parseState(byte)	The state byte is an unsigned discriminant with three defined values; anything else is corrupt account data. Reading it unchecked indexed the enum with the raw byte, so the top half of the range arrived as a negative index.	  private static AccountState parseState(final byte state) {     final var states = AccountState.values();     final int ordinal = state & 0xFF;     if (ordinal >= states.length) {       throw new IllegalArgumentException("Invalid token account state: " + ordinal);     }     return states[ordinal];   }
sava#sava-core/src/main/java/software/sava/core/tx/TransactionSkeleton.java#TransactionSkeleton.deserializeSkeleton(byte[])			sava	TransactionSkeleton.deserializeSkeleton(byte[])	Parses the serialized transaction into its structural views.  <p>For versioned messages, account parsing marks every included read-only account referenced by an instruction's {@code program_id_index} as invoked. This also holds when the address-table lookup count is zero or the data ends immediately after the instruction section.</p>  <p>Legacy deserialization reads each instruction's account-count and data-length prefixes eagerly: a missing prefix throws before a skeleton is returned. This is not complete validation of instruction payloads; the final payload is skipped without checking its end.</p>  <p>A message whose first byte is the SIMD-0385 v1 version byte is dispatched to the v1 skeleton instead; v1 transactions carry no address lookup tables and expose their compute budget as config values.</p>	  static TransactionSkeleton deserializeSkeleton(final byte[] data) {     // The v1 version byte 0x81 also opens a legacy message's compact-u16 signature count: 0x81 0x01     // is 129 signatures, and 0x81 0x00 is the non-canonical encoding of 1. Only the latter is     // reachable — 129 signatures cannot fit the 1232 byte packet limit — and it cannot be a v1     // message, because byte one is a v1 message's num_required_signatures and SIMD-0385 sanitizes     // that to at least one. Leaving it to the legacy walk keeps such messages readable, so the     // signature layout check rejects them where a mutable transaction is actually built.     if ((data[0] & 0xFF) == (V1_VERSION_BYTE & 0xFF) && data[1] != 0) {       return V1TransactionSkeleton.deserialize(data);     }     int o = 0;     final int serializedSignatureCount = decode(data, o);     o += getByteLen(data, o);     o += (serializedSignatureCount * SIGNATURE_LENGTH);     final int messageOffset = o;      int version = data[o++] & 0xFF;     final int numRequiredSignatures;     if (signedByte(version)) {       // the three message header counts are u8 on the wire like the version byte above;       // read as signed bytes, a value past 0x7F is a negative count that inflates the       // signer loops in TransactionSkeletonImpl instead of being rejected as malformed       numRequiredSignatures = data[o++] & 0xFF;       version &= 0x7F;     } else {       numRequiredSignatures = version;       version = BaseTransaction.VERSIONED_BIT_MASK;     }     final int numReadonlySignedAccounts = data[o++] & 0xFF;     final int numReadonlyUnsignedAccounts = data[o++] & 0xFF;      final int numIncludedAccounts = decode(data, o);     o += getByteLen(data, o);     final int accountsOffset = o;     o += numIncludedAccounts << 5;      final int recentBlockHashIndex = o;     o += Transaction.BLOCK_HASH_LENGTH;      final int numInstructions = decode(data, o);     o += getByteLen(data, o);     final int instructionsOffset = o;      if (version >= 0) {       final int[] invokedIndexes = new int[numInstructions];       for (int i = 0, numAccounts, len; i < numInstructions; ++i) {         invokedIndexes[i] = data[o++] & 0xFF;          numAccounts = decode(data, o);         o += getByteLen(data, o);         o += numAccounts;          len = decode(data, o);         o += getByteLen(data, o);         o += len;       }       // Versioned account parsing uses binary search to identify invoked read-only accounts.       Arrays.sort(invokedIndexes);       if (o < data.length) {         final int numLookupTables = decode(data, o);         ++o;         final int lookupTablesOffset = o;         if (numLookupTables > 0) {           final PublicKey[] lookupTableAccounts = new PublicKey[numLookupTables];           int numAccounts = numIncludedAccounts;           for (int t = 0, numWriteIndexes, numReadIndexes; t < numLookupTables; ++t) {             lookupTableAccounts[t] = PublicKey.readPubKey(data, o);             o += PUBLIC_KEY_LENGTH;              numWriteIndexes = decode(data, o);             o += getByteLen(data, o);             o += numWriteIndexes;             numAccounts += numWriteIndexes;              numReadIndexes = decode(data, o);             o += getByteLen(data, o);             o += numReadIndexes;             numAccounts += numReadIndexes;           }           return new TransactionSkeletonImpl(               data,               version,               messageOffset,               serializedSignatureCount,               numRequiredSignatures, numReadonlySignedAccounts, numReadonlyUnsignedAccounts,               numIncludedAccounts, accountsOffset,               recentBlockHashIndex,               numInstructions, instructionsOffset, invokedIndexes,               lookupTablesOffset, lookupTableAccounts,               numAccounts           );         } else {           return new TransactionSkeletonImpl(               data,               version,               messageOffset,               serializedSignatureCount,               numRequiredSignatures, numReadonlySignedAccounts, numReadonlyUnsignedAccounts,               numIncludedAccounts, accountsOffset,               recentBlockHashIndex,               numInstructions, instructionsOffset, invokedIndexes,               lookupTablesOffset, NO_TABLES,               numIncludedAccounts           );         }       } else {         return new TransactionSkeletonImpl(             data,             version,             messageOffset,             serializedSignatureCount,             numRequiredSignatures, numReadonlySignedAccounts, numReadonlyUnsignedAccounts,             numIncludedAccounts, accountsOffset,             recentBlockHashIndex,             numInstructions, instructionsOffset, invokedIndexes,             data.length, NO_TABLES,             numIncludedAccounts         );       }     } else {       for (int i = 0, numAccounts, len; i < numInstructions; ++i) {         ++o; // raw u8 program index          numAccounts = decode(data, o);         o += getByteLen(data, o);         o += numAccounts;          len = decode(data, o);         o += getByteLen(data, o);         o += len;       }       return new TransactionSkeletonImpl(           data,           version,           messageOffset,           serializedSignatureCount,           numRequiredSignatures, numReadonlySignedAccounts, numReadonlyUnsignedAccounts,           numIncludedAccounts, accountsOffset,           recentBlockHashIndex,           numInstructions, instructionsOffset, LEGACY_INVOKED_INDEXES,           -1, NO_TABLES,           numIncludedAccounts       );     }   }
sava#sava-core/src/main/java/software/sava/core/tx/V1Transaction.java#V1Transaction.setPriorityFeeLamportsFromComputeUnitPrice(long, int)			sava	V1Transaction.setPriorityFeeLamportsFromComputeUnitPrice(long, int)	The composition the interface default used to provide, now explicit because the inherited default throws for implementations that never supported these mutators: apply the limit, then price against it.  Both ConfigValue slots are validated before either is written. Composed naively, a transaction whose mask carries the compute-unit-limit bit but not the priority-fee pair would have its limit written and then throw on the fee slot, leaving it observably half-updated — and a builder-produced v1 transaction has exactly that shape unless a priority fee was requested, since [TxBuilder] always serializes the limit slot but never defaults the fee. The fee slot is resolved first, so a refusal on either slot leaves every byte untouched.	  @Override   public Transaction setPriorityFeeLamportsFromComputeUnitPrice(final long microLamportsPerComputeUnit,                                                                 final int computeUnitLimit) {     final int priorityFeeOffset = configValueOffset(PRIORITY_FEE_MASK);     setComputeUnitLimit(computeUnitLimit);     ByteUtil.putInt64LE(data, priorityFeeOffset,         TxBuilder.computeUnitPriceToPriorityFeeLamports(microLamportsPerComputeUnit, computeUnitLimit));     return this;   }
sava#sava-examples/src/main/java/software/sava/examples/SubscribeToLookupTables.java#SubscribeToLookupTables.connect(SolanaRpcWebsocket)			sava	SubscribeToLookupTables.connect(SolanaRpcWebsocket)	A failed handshake is reported through the returned future — with no established socket there may be no onError to retry it — so a durable client watches the future and tries again; the implementation's reconnect throttle paces the recursion.	  private static void connect(final SolanaRpcWebsocket webSocket) {     final var attempt = webSocket.connect();     if (attempt != null) {       attempt.whenComplete((_, throwable) -> {         if (throwable != null) {           System.err.println("Connect failed, retrying: " + throwable);           connect(webSocket);         }       });     }   }
sava#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaJsonRpcWebsocket.java#SolanaJsonRpcWebsocket.handlePendingSubscriptions(Connection)			sava	SolanaJsonRpcWebsocket.handlePendingSubscriptions(Connection)	One maintenance pass. Returns the escalation to deliver AFTER the caller releases the lock, or null — the user's error handler is documented to run off the lock, and a re-entrant hold from this pass used to break that.	  private Throwable handlePendingSubscriptions(final Connection conn) {     return switch (conn.lifecycle) {       case ACTIVE -> handleActivePendingSubscriptions(conn);       case PING_FAILED -> claimFailedPing(conn);       case ESCALATED -> null;     };   }
sava#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaJsonRpcWebsocket.java#SolanaJsonRpcWebsocket.preparePingDeadlineTransition()			sava	SolanaJsonRpcWebsocket.preparePingDeadlineTransition()	Test seam for the observation-to-CAS transition above. It snapshots an overdue current probe under the lifecycle lock and returns its opaque claim token. Production retains that lock from observation through claim; send completion and peer contact can still win because their probe CAS runs without it. Tests serialize only those lock-independent transitions between this snapshot and claimPingDeadlineTransition, without a scheduler race or sleep.	  PingDeadlineTransition preparePingDeadlineTransition() {     lock.lock();     try {       return preparePingDeadlineTransition(this.connection, pacingMillis());     } finally {       lock.unlock();     }   }
sava#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaJsonRpcWebsocket.java#SolanaJsonRpcWebsocket.recordFailedPing(Connection, PingProbe, Throwable)			sava	SolanaJsonRpcWebsocket.recordFailedPing(Connection, PingProbe, Throwable)	Records synchronous throws and failed futures through one locked transition. Clearing the probe, publishing the failure, and reserving its one maintenance claim atomically prevents a pass from sending a second Ping or preparing a duplicate delivery between those facts. Callback delivery remains off-lock, including when a future invokes this completion synchronously under the outer hold.	  private void recordFailedPing(final Connection conn,                                 final PingProbe probe,                                 final Throwable failure) {     final boolean superseded;     lock.lock();     try {       conn.pingProbe.compareAndSet(probe, null);       superseded = conn != this.connection;       if (!superseded           && conn.lifecycle == ConnectionLifecycle.ACTIVE           && conn.pingFailure == null) {         conn.pingFailure = failure;         conn.lifecycle = ConnectionLifecycle.PING_FAILED;         checkSignalled = true;         newSubscription.signal();       }     } finally {       lock.unlock();     }     // Logging can invoke an arbitrary backend. Keep it outside the lifecycle lock just like the     // user-facing failure callbacks, while retaining the diagnostic the superseded transport's     // deliberately ignored completion used to provide.     if (superseded) {       log.log(DEBUG, "Dropped ping on a superseded socket.");     }   }
sava#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaJsonRpcWebsocket.java#SolanaJsonRpcWebsocket.requestFingerprint(String)			sava	SolanaJsonRpcWebsocket.requestFingerprint(String)	Everything after the request id — method and params both: what the server was actually asked, with the correlation id stripped.	  private static String requestFingerprint(final String msg) {     return msg.substring(msg.indexOf("\"method\""));   }
sava#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaJsonRpcWebsocket.java#SolanaJsonRpcWebsocket.scheduleBuild(long, long, CompletableFuture<WebSocket>, CompletableFuture<Void>)			sava	SolanaJsonRpcWebsocket.scheduleBuild(long, long, CompletableFuture<WebSocket>, CompletableFuture<Void>)	Installs the delayed wake outside the lifecycle lock. The placeholder is already owned by this generation, so close can cancel it even while an injected scheduler is still inside schedule(); a returned handle which lost that race is cancelled immediately. A scheduler may also start an enabled task before schedule() returns. In that case startBuild has consumed the placeholder, but the attempt still owns the running handle — cancelling it would interrupt the valid builder operation.	  private void scheduleBuild(final long delay,                              final long generation,                              final CompletableFuture<WebSocket> connected,                              final CompletableFuture<Void> placeholder) {     final Runnable build = () -> startBuild(generation, connected);     if (scheduler == null) {       placeholder.thenRun(build);       try {         CompletableFuture.delayedExecutor(delay, MILLISECONDS)             .execute(() -> placeholder.complete(null));       } catch (final RuntimeException ex) {         placeholder.completeExceptionally(ex);         connected.completeExceptionally(ex);       }       return;     }      final Future<?> scheduled;     try {       scheduled = Objects.requireNonNull(           this.scheduler.schedule(build, delay, MILLISECONDS),           "websocket scheduler returned null"       );     } catch (final RuntimeException ex) {       lock.lock();       // The only operation which can displace this placeholder before schedule() returns is       // terminal close; clearing null twice is harmless, and no successor can be admitted on a       // closed wrapper. Keeping an identity arm here adds no ownership distinction.       this.scheduledConnect = null;       lock.unlock();       placeholder.completeExceptionally(ex);       connected.completeExceptionally(ex);       return;     }     final boolean attemptCurrent;     lock.lock();     try {       attemptCurrent = this.inFlightConnect == connected;       if (attemptCurrent && this.scheduledConnect == placeholder) {         this.scheduledConnect = scheduled;       }     } finally {       lock.unlock();     }     if (!attemptCurrent) {       scheduled.cancel(true);     }   }
sava#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaRpcWebsocket.java#SolanaRpcWebsocket$Builder.keepAliveDelay(long)			sava	SolanaRpcWebsocket$Builder.keepAliveDelay(long)	How long this end may be silent before it pokes the peer, guarding against an intermediary that ages a connection on what it receives from us. Defaults to a multiple of pingDelay, so tuning only the ping delay moves this proportionately.	    default Builder keepAliveDelay(final long keepAliveDelay) {       throw unsupportedTiming("keepAliveDelay");     }
sava#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaRpcWebsocket.java#SolanaRpcWebsocket$Builder.subscriptionResendDelay(long)			sava	SolanaRpcWebsocket$Builder.subscriptionResendDelay(long)	How long a FAILED subscription send waits before it is retried, in milliseconds — and, times four, the deadline after which a sent-but-never-answered request replaces the connection. Defaults to reConnectDelay floored at subscriptionAndPingCheckDelay.  A successfully sent request is never re-sent on its own connection: JSON-RPC ids correlate responses, they do not deduplicate calls, so a duplicate of a merely slow subscribe would create a second, orphaned server subscription. Only a send that failed outright retries, at this cadence; a request the server never answers at all escalates through the error seam by aborting the connection, so reconnect policy — not a duplicate frame — resolves it. This delay also paces replay after a reconnect — a re-queued subscription keeps its last attempt stamp — and the retry of an un-subscription the server refused transiently, so an immediately-refusing peer is not retried at wire speed.	    default Builder subscriptionResendDelay(final long subscriptionResendDelay) {       throw unsupportedTiming("subscriptionResendDelay");     }
sava#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaRpcWebsocketBuilder.java#SolanaRpcWebsocketBuilder.DEFAULT_CONNECT_TIMEOUT			sava	SolanaRpcWebsocketBuilder.DEFAULT_CONNECT_TIMEOUT	Default budget for the whole handshake — DNS, TCP, TLS, and the HTTP upgrade — in millis.  This was previously the reconnect delay, 3s, which is a plausible number for pacing retries and a tight one for a cold TLS handshake to a shared public endpoint such as api.mainnet-beta.solana.com, where a request may also queue behind rate limiting. Exceeding it does not yield a slow connection, it yields a failed one, then a throttled retry, then backoff — so a latency spike became a reconnect storm against the endpoint least able to absorb it.  A warm handshake to a nearby endpoint completes well inside a second, so this is roughly an order of magnitude of headroom over the normal case while still failing fast enough to be worth retrying: a handshake that has not completed in this long is a node worth giving up on rather than waiting out.	  static final long DEFAULT_CONNECT_TIMEOUT = 8_000;
sava#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/Subscription.java#Subscription.NEVER			sava	Subscription.NEVER	A lastAttempt stamp meaning "never": far enough in the past that every sane pacing window — anything under ~34 years — has elapsed, without being so far that `now - <METHOD>` could overflow. Pacing time is monotonic and starts near zero, so 0 cannot mean "never" — it means "just now". A delay beyond 2^40 ms behaves as "disabled", exactly as it always has: under the previous wall clock, `now` was ~1.7e12 and the comparison came out the same way.	  long NEVER = -(1L << 40);
sava#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/Timings.java#Timings.resendDelayFor(long, long)			sava	Timings.resendDelayFor(long, long)	Follows reConnectDelay, but never drops below the check cadence.  The floor only ever binds when a caller sets a reconnect throttle shorter than the interval at which anything is checked — in practice, zero. Re-sending faster than the loop that decides whether to re-send is not a setting anyone means to choose, and reaching it through a *reconnect* knob is not choosing it at all. A caller who does want it says so through subscriptionResendDelay, which is not floored.	  static long resendDelayFor(final long reConnectDelay, final long subscriptionAndPingCheckDelay) {     // Floored at 1: zero is legal for both inputs — no reconnect throttle, a never-parking     // check loop — but a zero re-send deadline is rejected by this record's own validation,     // and a caller choosing two legal values must not be told their combination is nonsense.     final long floored = Math.max(reConnectDelay, subscriptionAndPingCheckDelay);     return floored > 0 ? floored : 1;   }
