row_id	label	notes	module	row	mutator_description	paragraph_head	member_head
glam-sdk-java/services#services#SingleAssetFulfillmentServiceEntrypoint.createService#VoidMethodCallMutator#NO_COVERAGE#135	fine	Line 135 is `webSocketManager.checkConnection();`, a void wiring call. Removing a void call during config-driven wiring is exactly what the paragraph's no-injection-seam argument covers, and the call still exists.	glam-sdk-java/services	systems.glam.services.fulfillment.SingleAssetFulfillmentServiceEntrypoint,createService,VoidMethodCallMutator,NO_COVERAGE # seamless bootstrap # line 135	removed a call to a void method	- `# seamless bootstrap` — the fulfillment entrypoint's config-driven wiring with no injection seam; escape is a seam refactor.	// SingleAssetFulfillmentServiceEntrypoint lines 56-185   private static SingleAssetFulfillmentServiceEntrypoint createService(final ExecutorService taskExecutor,                                                                        final HttpClient httpClient,                                                                        final HttpClient wsHttpClient) throws InterruptedException {     f …
glam-sdk-java/services#services#SingleAssetFulfillmentServiceEntrypoint.createService#VoidMethodCallMutator#NO_COVERAGE#182	fine	Line 182 falls on the final subscription wiring (webSocketConsumers.add / fulfillmentService.subscribe), a void call in the wiring sequence the paragraph describes. The seam argument addresses it and names nothing the code lacks.	glam-sdk-java/services	systems.glam.services.fulfillment.SingleAssetFulfillmentServiceEntrypoint,createService,VoidMethodCallMutator,NO_COVERAGE # seamless bootstrap # line 182	removed a call to a void method	- `# seamless bootstrap` — the fulfillment entrypoint's config-driven wiring with no injection seam; escape is a seam refactor.	// SingleAssetFulfillmentServiceEntrypoint lines 56-185   private static SingleAssetFulfillmentServiceEntrypoint createService(final ExecutorService taskExecutor,                                                                        final HttpClient httpClient,                                                                        final HttpClient wsHttpClient) throws InterruptedException {     f …
glam-sdk-java/services#services#SingleAssetFulfillmentServiceEntrypoint.lambda$createService$0#NullReturnValsMutator#NO_COVERAGE#102	fine	Line 102 is the lambda `rpcClient -> rpcClient.getAccounts(accountsNeededList)` passed to rpcCaller.courteousCall inside createService. It is part of the same unseamed bootstrap the paragraph describes, so nulling its return is covered by that reasoning; the call is present in the source.	glam-sdk-java/services	systems.glam.services.fulfillment.SingleAssetFulfillmentServiceEntrypoint,lambda$createService$0,NullReturnValsMutator,NO_COVERAGE # seamless bootstrap # line 102	replaced a return value with null	- `# seamless bootstrap` — the fulfillment entrypoint's config-driven wiring with no injection seam; escape is a seam refactor.	// SingleAssetFulfillmentServiceEntrypoint lines 56-185   private static SingleAssetFulfillmentServiceEntrypoint createService(final ExecutorService taskExecutor,                                                                        final HttpClient httpClient,                                                                        final HttpClient wsHttpClient) throws InterruptedException {     f …
glam-sdk-java/services#services#SingleAssetFulfillmentServiceEntrypoint.lambda$createService$1#NullReturnValsMutator#NO_COVERAGE#127	fine	Line 127 is the lambda `rpcClient -> rpcClient.getAccountInfo(baseAssetMint)`, again inside createService's RPC wiring. The no-seam argument explains the lack of coverage for it, and the construct still exists.	glam-sdk-java/services	systems.glam.services.fulfillment.SingleAssetFulfillmentServiceEntrypoint,lambda$createService$1,NullReturnValsMutator,NO_COVERAGE # seamless bootstrap # line 127	replaced a return value with null	- `# seamless bootstrap` — the fulfillment entrypoint's config-driven wiring with no injection seam; escape is a seam refactor.	// SingleAssetFulfillmentServiceEntrypoint lines 56-185   private static SingleAssetFulfillmentServiceEntrypoint createService(final ExecutorService taskExecutor,                                                                        final HttpClient httpClient,                                                                        final HttpClient wsHttpClient) throws InterruptedException {     f …
glam-sdk-java/services#services#SingleAssetFulfillmentServiceEntrypoint.main#RemoveConditionalMutator_EQUAL_IF#NO_COVERAGE#39	fine	Line 39 is `if (DRY_RUN) {` in main(), forced true so the dry-run warning always logs. main() is the entrypoint's bootstrap with no injection seam (static main constructing executors and HTTP clients, then calling createService), which is what the paragraph argues, and every construct it mentions (c	glam-sdk-java/services	systems.glam.services.fulfillment.SingleAssetFulfillmentServiceEntrypoint,main,RemoveConditionalMutator_EQUAL_IF,NO_COVERAGE # seamless bootstrap # line 39	removed an equality conditional (== or !=) by replacing it with true, so the if-branch always runs	- `# seamless bootstrap` — the fulfillment entrypoint's config-driven wiring with no injection seam; escape is a seam refactor.	// SingleAssetFulfillmentServiceEntrypoint lines 38-54   static void main() {     if (DRY_RUN) {       logger.log(WARNING, "DRY RUN ENABLED");     }     try (final var taskExecutor = Executors.newVirtualThreadPerTaskExecutor();          final var httpClient = HttpClient.newBuilder().executor(taskExecutor).build();          final var wsHttpClient = HttpClient.newHttpClient()) {       final var serv …
glam-sdk-java/services#services#SingleAssetFulfillmentServiceEntrypoint.main#RemoveConditionalMutator_EQUAL_IF#NO_COVERAGE#46	fine	Line 46 is `if (service != null)` inside `main`; the mutant forces the branch to always run. The paragraph's argument is a coverage-class one about this exact member — the entrypoint wires everything through `createService(...)` with no injection seam, so no test reaches any mutant in `main` (status	glam-sdk-java/services	systems.glam.services.fulfillment.SingleAssetFulfillmentServiceEntrypoint,main,RemoveConditionalMutator_EQUAL_IF,NO_COVERAGE # seamless bootstrap # line 46	removed an equality conditional (== or !=) by replacing it with true, so the if-branch always runs	- `# seamless bootstrap` — the fulfillment entrypoint's config-driven wiring with no injection seam; escape is a seam refactor.	// SingleAssetFulfillmentServiceEntrypoint lines 38-54   static void main() {     if (DRY_RUN) {       logger.log(WARNING, "DRY RUN ENABLED");     }     try (final var taskExecutor = Executors.newVirtualThreadPerTaskExecutor();          final var httpClient = HttpClient.newBuilder().executor(taskExecutor).build();          final var wsHttpClient = HttpClient.newHttpClient()) {       final var serv …
ravina/ravina-core#calls#UncheckedBalancedCall.get#RemoveConditionalMutator_EQUAL_IF#SURVIVED#53	fine	Line 53 is `long start = measureCallTime ? clock.nanoTime() : 0;` — the boolean test compiles to a conditional jump, and forcing it true makes the timer start unconditionally. The paragraph is exactly about call-time measurement mutants on paths where `measureCallTime` is false, where the measured v	ravina/ravina-core	software.sava.services.core.remote.call.UncheckedBalancedCall,get,RemoveConditionalMutator_EQUAL_IF,SURVIVED # timer-unobservable # line 53	removed an equality conditional (== or !=) by replacing it with true, so the if-branch always runs	**Unobservable timers** `# timer-unobservable` — call-time measurement mutants on paths where `measureCallTime` is false: the measured value is never read.	// UncheckedBalancedCall lines 45-100   @Override   public final R get() {     try {       var callFuture = call();       if (callFuture == null) {         return null;       }       final boolean measureCallTime = callContext.measureCallTime();       long start = measureCallTime ? clock.nanoTime() : 0;       final int numItems = loadBalancer.size();       for (long errorCount = 0, retry = 0; ; )  …
ravina/ravina-solana#alt#ScoredTable.scoreTables#RemoveConditionalMutator_ORDER_ELSE#SURVIVED#58	mis-filed	Counting from the declared body start (line 25), line 58 is `if (remainingAccounts.size() < 2) { break; }` — the only ordering conditional at that line, and the only plausible ORDER_ELSE target there. The paragraph argues exclusively about `usedMask` bookkeeping (`<<=`→`>>=`, the `(mask & usedMask)`	ravina/ravina-solana	software.sava.services.solana.alt.ScoredTable,scoreTables,RemoveConditionalMutator_ORDER_ELSE,SURVIVED # set-cover-invariant # line 58	removed an ordering conditional (<, <=, >, >=) by replacing it with false, so the if-branch never runs	**Selection-invariant set-cover bookkeeping** `# set-cover-invariant` (`alt`) — `ScoredTable` / `ScoredTableMeta` `usedMask` mutants (`<<=` → `>>=`, the `(mask & usedMask)` guard, `usedMask |=` → `&=`) and the `selectedTables` emptiness guard. The mask only skips re-scoring already-selected tables, whose accounts have already been removed from `remainingAccounts`; such a table scores 0 and can never be re-selected, so the selection output is unchanged either way.	// ScoredTable lines 25-63   public static void scoreTables(final int maxTables,                                  final Set<PublicKey> remainingAccounts,                                  final AddressLookupTable[] lookupTables,                                  final Map<PublicKey, AddressLookupTable> selectedTables) {     if (!selectedTables.isEmpty()) {       for (final var table : selectedTables …
ravina/ravina-solana#alt#ScoredTableMeta.scoreTables#RemoveConditionalMutator_ORDER_ELSE#SURVIVED#49	mis-filed	Counting from the declared body start (line 20), line 49 is `if (remainingAccounts.size() < 2) { break; }`. As with the ScoredTable sibling, the shared paragraph reasons only about the `usedMask` mask bookkeeping and the `selectedTables` emptiness guard (which this member does not even have — it acc	ravina/ravina-solana	software.sava.services.solana.alt.ScoredTableMeta,scoreTables,RemoveConditionalMutator_ORDER_ELSE,SURVIVED # set-cover-invariant # line 49	removed an ordering conditional (<, <=, >, >=) by replacing it with false, so the if-branch never runs	**Selection-invariant set-cover bookkeeping** `# set-cover-invariant` (`alt`) — `ScoredTable` / `ScoredTableMeta` `usedMask` mutants (`<<=` → `>>=`, the `(mask & usedMask)` guard, `usedMask |=` → `&=`) and the `selectedTables` emptiness guard. The mask only skips re-scoring already-selected tables, whose accounts have already been removed from `remainingAccounts`; such a table scores 0 and can never be re-selected, so the selection output is unchanged either way.	// ScoredTableMeta lines 20-55   public static List<LookupTableAccountMeta> scoreTables(final int maxTables,                                                          final Set<PublicKey> remainingAccounts,                                                          final LookupTableAccountMeta[] lookupTables) {     final var scoredTables = new ArrayList<LookupTableAccountMeta>(maxTables);     int use …
ravina/ravina-solana#epoch#SlotPerformanceStats.calculateStats#RemoveConditionalMutator_EQUAL_ELSE#SURVIVED#81	fine	Counting from body start (line 52), line 81 is `} else if (numPerfSamples == 1) {`. EQUAL_ELSE makes it false, so a single sample falls through to the general path — precisely what the paragraph describes ('routing a single sample through the general path yields the identical record'). Its specifics	ravina/ravina-solana	software.sava.services.solana.epoch.SlotPerformanceStats,calculateStats,RemoveConditionalMutator_EQUAL_ELSE,SURVIVED # duplicated-computation # line 81	removed an equality conditional (== or !=) by replacing it with false, so the if-branch never runs	**Duplicated computation** `# duplicated-computation` (`epoch`) — `SlotPerformanceStats.calculateStats` routing a single sample through the general path yields the identical record (middle = 0, min = max = median, stddev 0).	// SlotPerformanceStats lines 52-110   public static SlotPerformanceStats calculateStats(final List<PerfSample> samples,                                                     final int minMillis,                                                     final int maxMillis) {     if (minMillis <= 0) {       throw new IllegalArgumentException("minMillis must be positive: " + minMillis);     }     if (maxMi …
sava/sava-core#token2022#ConfidentialMintBurn.read#MathMutator#SURVIVED#36	fine	Counting from body start (line 17), line 36 is `i += pendingBurn.length;` — the final cursor advance, immediately before the `return new ConfidentialMintBurn(...)`. MathMutator flips `+` to `-` there. The paragraph names exactly that statement and argues it is a dead store because nothing reads `i` 	sava/sava-core	software.sava.core.accounts.token.extensions.ConfidentialMintBurn,read,MathMutator,SURVIVED # dead cursor advance # line 36	replaced an arithmetic or bitwise operator with its counterpart: + with -, * with /, % with *, << with >>, & with |, ^ with &	**Dead final cursor advance** — baseline label `# dead cursor advance` (`ConfidentialMintBurn.read` line 36): the last `i += pendingBurn.length` before the return is a dead store — nothing reads `i` afterwards. Kept for symmetry with the preceding field reads; refactoring it away would remove the mutant.	// ConfidentialMintBurn lines 17-44   public static ConfidentialMintBurn read(final byte[] data, final int offset) {     if (data == null || data.length == 0) {       return null;     }     int i = offset;      final byte[] confidentialSupply = new byte[ELGAMAL_CIPHERTEXT_LEN];     System.arraycopy(data, i, confidentialSupply, 0, confidentialSupply.length);     i += confidentialSupply.length;      …
sava/sava-rpc#ws#SolanaJsonRpcWebsocket.onText#RemoveConditionalMutator_EQUAL_ELSE#SURVIVED#2725	fine	The recorded line numbers for this member have drifted (2725 lands on a `)` continuation of the IllegalStateException construction, and the sibling rows' hints fall outside the body entirely), so the label must be judged by kind. The EQUAL_ELSE targets in `onText` are exactly the buffer-routing bool	sava/sava-rpc	software.sava.rpc.json.http.ws.SolanaJsonRpcWebsocket,onText,RemoveConditionalMutator_EQUAL_ELSE,SURVIVED # equivalent buffer copy # line 2725	removed an equality conditional (== or !=) by replacing it with false, so the if-branch never runs	- **Capacity and buffer routing.** `# equal-capacity copy` makes exact capacity enter the growth branch: the clamp grows a sub-maximum buffer and performs a same-sized copy only at `maxMessageLength`, without changing bytes or parsing. The two `# capacity math` siblings alter only the growth hint before `Math.clamp`, which still allocates at least the required capacity. `# zero-offset route convergence` sends an unfragmented message through the assembled-buffer route; it parses the same characters. `# equivalent buffer copy` chooses `arraycopy`, `CharBuffer.get`, or a wrapped buffer for the sa …	// SolanaJsonRpcWebsocket lines 2687-2762   @Override   public CompletionStage<?> onText(final WebSocket webSocket, final CharSequence message, final boolean last) {     // One resolution answers every guard: no current connection (closed, or the gap between     // connect() and adoption), or a socket that is not the current one, resolves to null — and     // a stale callback that already resolved …
sava/sava-rpc#ws#SolanaJsonRpcWebsocket.onText#RemoveConditionalMutator_EQUAL_ELSE#SURVIVED#965	fine	Same member and same operator as the 2725 row; the line hint (965) is stale — it falls far outside the current body at 2687-2762, so it is drift in the file rather than a claim the paragraph makes. The `# equivalent buffer copy` sentence still describes the live EQUAL_ELSE targets in this member (`b	sava/sava-rpc	software.sava.rpc.json.http.ws.SolanaJsonRpcWebsocket,onText,RemoveConditionalMutator_EQUAL_ELSE,SURVIVED # equivalent buffer copy # line 965	removed an equality conditional (== or !=) by replacing it with false, so the if-branch never runs	- **Capacity and buffer routing.** `# equal-capacity copy` makes exact capacity enter the growth branch: the clamp grows a sub-maximum buffer and performs a same-sized copy only at `maxMessageLength`, without changing bytes or parsing. The two `# capacity math` siblings alter only the growth hint before `Math.clamp`, which still allocates at least the required capacity. `# zero-offset route convergence` sends an unfragmented message through the assembled-buffer route; it parses the same characters. `# equivalent buffer copy` chooses `arraycopy`, `CharBuffer.get`, or a wrapped buffer for the sa …	// SolanaJsonRpcWebsocket lines 2687-2762   @Override   public CompletionStage<?> onText(final WebSocket webSocket, final CharSequence message, final boolean last) {     // One resolution answers every guard: no current connection (closed, or the gap between     // connect() and adoption), or a socket that is not the current one, resolves to null — and     // a stale callback that already resolved …
sava/sava-rpc#ws#SolanaJsonRpcWebsocket.onText#RemoveConditionalMutator_EQUAL_ELSE#SURVIVED#973	fine	Third of the four `# equivalent buffer copy` rows on `onText`; stale line hint (973 is outside the current 2687-2762 body). The operator removes an equality-class conditional, and the equality-class conditionals in this member that the label covers are the `buf.hasArray()` routing tests and the `ins	sava/sava-rpc	software.sava.rpc.json.http.ws.SolanaJsonRpcWebsocket,onText,RemoveConditionalMutator_EQUAL_ELSE,SURVIVED # equivalent buffer copy # line 973	removed an equality conditional (== or !=) by replacing it with false, so the if-branch never runs	- **Capacity and buffer routing.** `# equal-capacity copy` makes exact capacity enter the growth branch: the clamp grows a sub-maximum buffer and performs a same-sized copy only at `maxMessageLength`, without changing bytes or parsing. The two `# capacity math` siblings alter only the growth hint before `Math.clamp`, which still allocates at least the required capacity. `# zero-offset route convergence` sends an unfragmented message through the assembled-buffer route; it parses the same characters. `# equivalent buffer copy` chooses `arraycopy`, `CharBuffer.get`, or a wrapped buffer for the sa …	// SolanaJsonRpcWebsocket lines 2687-2762   @Override   public CompletionStage<?> onText(final WebSocket webSocket, final CharSequence message, final boolean last) {     // One resolution answers every guard: no current connection (closed, or the gap between     // connect() and adoption), or a socket that is not the current one, resolves to null — and     // a stale callback that already resolved …
sava/sava-rpc#ws#SolanaJsonRpcWebsocket.onText#RemoveConditionalMutator_EQUAL_ELSE#SURVIVED#986	fine	Fourth of the four `# equivalent buffer copy` rows on `onText`; stale line hint (986 is outside the current body). The paragraph's sentence for this label addresses precisely this operator's effect on this member — choosing `arraycopy`, `CharBuffer.get`, or a wrapped buffer for the same remaining ch	sava/sava-rpc	software.sava.rpc.json.http.ws.SolanaJsonRpcWebsocket,onText,RemoveConditionalMutator_EQUAL_ELSE,SURVIVED # equivalent buffer copy # line 986	removed an equality conditional (== or !=) by replacing it with false, so the if-branch never runs	- **Capacity and buffer routing.** `# equal-capacity copy` makes exact capacity enter the growth branch: the clamp grows a sub-maximum buffer and performs a same-sized copy only at `maxMessageLength`, without changing bytes or parsing. The two `# capacity math` siblings alter only the growth hint before `Math.clamp`, which still allocates at least the required capacity. `# zero-offset route convergence` sends an unfragmented message through the assembled-buffer route; it parses the same characters. `# equivalent buffer copy` chooses `arraycopy`, `CharBuffer.get`, or a wrapped buffer for the sa …	// SolanaJsonRpcWebsocket lines 2687-2762   @Override   public CompletionStage<?> onText(final WebSocket webSocket, final CharSequence message, final boolean last) {     // One resolution answers every guard: no current connection (closed, or the gap between     // connect() and adoption), or a socket that is not the current one, resolves to null — and     // a stale callback that already resolved …
sava/sava-rpc#ws#SolanaJsonRpcWebsocket.onWholeMessage#RemoveConditionalMutator_EQUAL_IF#SURVIVED#2587	fine	The shown body is truncated (202 of 541 lines; '… 341 more lines not shown'), so the specific mutated site cannot be confirmed from what is given — the fallback applies. What is visible supports the paragraph rather than contradicting it: the member is built out of exactly the guarded rescan idiom t	sava/sava-rpc	software.sava.rpc.json.http.ws.SolanaJsonRpcWebsocket,onWholeMessage,RemoveConditionalMutator_EQUAL_IF,SURVIVED # unique-member rescan # line 2587	removed an equality conditional (== or !=) by replacing it with true, so the if-branch always runs	- **Parser rescans.** `# unique-member rescan` resets and finds the same unique JSON-RPC `params`, `value`, or `subscription` member; duplicate member-name resolution is outside the protocol contract. `# fast-forward funnel` drops an initial iterator fast-forward, after which the existing mark/reset fallback reaches the same member and dispatches the same notification.	// SolanaJsonRpcWebsocket lines 2134-2674   @SuppressWarnings("unused")   private void onWholeMessage(final char[] msg,                               final int offset,                               final int tail,                               final JsonIterator ji,                               final Connection conn) {     // System.out.format("<- %s%n", new String(msg, offset, tail - offset));   …
sava/sava-rpc#ws#SolanaJsonRpcWebsocket.onWholeMessage#RemoveConditionalMutator_EQUAL_IF#SURVIVED#905	fine	Same truncated member as the 2587 row, plus a stale line hint (905 is outside the current 2134-2674 body), so the site is not decidable from what is shown and the fallback applies. The visible portion shows the same `skipUntil(...) == null` / `reset(...)` rescan idiom the paragraph argues about, and	sava/sava-rpc	software.sava.rpc.json.http.ws.SolanaJsonRpcWebsocket,onWholeMessage,RemoveConditionalMutator_EQUAL_IF,SURVIVED # unique-member rescan # line 905	removed an equality conditional (== or !=) by replacing it with true, so the if-branch always runs	- **Parser rescans.** `# unique-member rescan` resets and finds the same unique JSON-RPC `params`, `value`, or `subscription` member; duplicate member-name resolution is outside the protocol contract. `# fast-forward funnel` drops an initial iterator fast-forward, after which the existing mark/reset fallback reaches the same member and dispatches the same notification.	// SolanaJsonRpcWebsocket lines 2134-2674   @SuppressWarnings("unused")   private void onWholeMessage(final char[] msg,                               final int offset,                               final int tail,                               final JsonIterator ji,                               final Connection conn) {     // System.out.format("<- %s%n", new String(msg, offset, tail - offset));   …
