pair_id	label	needed_source	notes	workflow	basename	line_a	line_b	text_a	scenario_a	text_b	scenario_b
wf_82d378e6-c04#abe5fed68ac09f4b1#findings#0 | wf_82d378e6-c04#a101acdbb64eb4236#findings#0				wf_82d378e6-c04	Transaction.java	266	266	The single-table overload performs the identical in-place compaction of the caller's array but is undocumented, and the newly documented overload delegates to it for exactly one lookup table.	A consumer reads the new warning on the LookupTableAccountMeta[] overload, concludes the sibling is safe, and writes:    var sorted = TransactionRecord.sortV0Accounts(merged);   // canonical v0 order   var v0 = Transaction.createTx(ix, len, sorted, table);    // silently permutes `sorted`   var legacyTwin = Transaction.createTx(ix, len, sorted);   // now non-canonical  With sorted = {payer(signer,write), writeY(write, not in table), writeX(write, in table), program(invoked, readonly)}, the first call leaves sorted = {payer, writeY, program, writeX}. The legacy build at line 176 writes accounts in array order and derives the header from flags: numRequiredSignatures=1, numReadonlySignedAccounts=0, numReadonlyUnsignedAccounts=1. The runtime derives writability from position, so indices 1..2 (writeY and `program`) are treated as writable and index 3 (writeX) as readonly — the program id is granted write access and the account the instruction actually needs to write is readonly. The transaction is rejected or executes with the wrong permissions. The same permutation also breaks any Arrays.binarySearch/parallel-index structure the caller kept over `sorted`.	The sibling single-table overload `createTx(List, int, AccountMeta[], AddressLookupTable)` compacts the caller's `sortedAccounts` in place exactly as the newly documented overload, but carries no javadoc — and the documented overload delegates to it for the one-table case.	A consumer builds one v0-sorted array `[payer, W1, W2, P(invoked,read), R1(read)]` and reuses it for two transactions. Call 1: `createTx(ixs, len, sorted, tableA)` where tableA holds W2 — the loop at 298-306 leaves the array as `[payer, W1, P, R1, W2]`. Call 2: `createTx(ixs, len, sorted, tableB)` where tableB holds R1 instead — the loop now walks the already-permuted array and produces an included front of `[payer, W1, P, W2]` with `numReadonlyUnsignedAccounts = 1`. The runtime reads the header as "the last unsigned account is readonly", so W2 (a real writable account) is serialized readonly and P (a program account) is serialized writable. The transaction serializes without error and mis-privileges accounts. Nothing at the declaration warns the caller; the documented sibling at line 439 says "Pass a clone to preserve the input array's order" and this one says nothing.
wf_82d378e6-c04#abe5fed68ac09f4b1#findings#0 | wf_82d378e6-c04#a676e2a7da0603a63#findings#0				wf_82d378e6-c04	Transaction.java	266	266	The single-table overload performs the identical in-place compaction of the caller's array but is undocumented, and the newly documented overload delegates to it for exactly one lookup table.	A consumer reads the new warning on the LookupTableAccountMeta[] overload, concludes the sibling is safe, and writes:    var sorted = TransactionRecord.sortV0Accounts(merged);   // canonical v0 order   var v0 = Transaction.createTx(ix, len, sorted, table);    // silently permutes `sorted`   var legacyTwin = Transaction.createTx(ix, len, sorted);   // now non-canonical  With sorted = {payer(signer,write), writeY(write, not in table), writeX(write, in table), program(invoked, readonly)}, the first call leaves sorted = {payer, writeY, program, writeX}. The legacy build at line 176 writes accounts in array order and derives the header from flags: numRequiredSignatures=1, numReadonlySignedAccounts=0, numReadonlyUnsignedAccounts=1. The runtime derives writability from position, so indices 1..2 (writeY and `program`) are treated as writable and index 3 (writeX) as readonly — the program id is granted write access and the account the instruction actually needs to write is readonly. The transaction is rejected or executes with the wrong permissions. The same permutation also breaks any Arrays.binarySearch/parallel-index structure the caller kept over `sorted`.	The sibling public overload `createTx(List, int, AccountMeta[], AddressLookupTable)` compacts the caller's array in place exactly as the newly documented overload does, but the delta leaves it with no javadoc at all.	A consumer builds `sortedAccounts` once and calls `Transaction.createTx(instructions, len, sortedAccounts, lookupTable)` (line 266) for a single table. The loop at lines 298-306 rotates included accounts to the front, so `sortedAccounts` comes back reordered. Reading only the declarations, the consumer sees the warning on the four-table overload (lines 435-438) and nothing on this one, concludes this overload is safe, and reuses the array — for a second `createTx` call, or to resolve `sortedAccounts[i]` by an index computed before the call — and silently gets the wrong account.
wf_82d378e6-c04#abe5fed68ac09f4b1#findings#0 | wf_82d378e6-c04#a0126e6bfdab0dac6#findings#0				wf_82d378e6-c04	Transaction.java	266	266	The single-table overload performs the identical in-place compaction of the caller's array but is undocumented, and the newly documented overload delegates to it for exactly one lookup table.	A consumer reads the new warning on the LookupTableAccountMeta[] overload, concludes the sibling is safe, and writes:    var sorted = TransactionRecord.sortV0Accounts(merged);   // canonical v0 order   var v0 = Transaction.createTx(ix, len, sorted, table);    // silently permutes `sorted`   var legacyTwin = Transaction.createTx(ix, len, sorted);   // now non-canonical  With sorted = {payer(signer,write), writeY(write, not in table), writeX(write, in table), program(invoked, readonly)}, the first call leaves sorted = {payer, writeY, program, writeX}. The legacy build at line 176 writes accounts in array order and derives the header from flags: numRequiredSignatures=1, numReadonlySignedAccounts=0, numReadonlyUnsignedAccounts=1. The runtime derives writability from position, so indices 1..2 (writeY and `program`) are treated as writable and index 3 (writeX) as readonly — the program id is granted write access and the account the instruction actually needs to write is readonly. The transaction is rejected or executes with the wrong permissions. The same permutation also breaks any Arrays.binarySearch/parallel-index structure the caller kept over `sorted`.	Only one of the two public array-taking createTx overloads got the new in-place-mutation javadoc; the AddressLookupTable overload compacts the caller's array identically and is still undocumented — and it is the code path the documented overload's own one-table promise is delegated to.	A consumer holds its own sorted AccountMeta[] and calls Transaction.createTx(instructions, serializedInstructionLength, sorted, lookupTable) (the AddressLookupTable overload at line 266). Lines 273-320 permute `sorted` in place exactly as the documented overload does — message accounts to the front, lookup accounts to the tail. The caller then reuses `sorted` (for a second transaction, or to map account index -> meta) and gets the permuted array: with input [payer, lookupA, lookupB, program] the array is [payer, program, lookupA, lookupB] on return, so index-based lookups and any second createTx call read the wrong accounts. Nothing at the declaration warns them. The same consumer reading the newly documented 4-arg overload is told 'With one or more lookup tables, compacts sortedAccounts in place' — but the one-table case is delivered by line 447 delegating to this undocumented sibling, so the documented sentence is realized by a method whose own signature carries no such notice.
wf_82d378e6-c04#abe5fed68ac09f4b1#findings#0 | wf_82d378e6-c04#a3f92776d639e4d5d#findings#0				wf_82d378e6-c04	Transaction.java	266	266	The single-table overload performs the identical in-place compaction of the caller's array but is undocumented, and the newly documented overload delegates to it for exactly one lookup table.	A consumer reads the new warning on the LookupTableAccountMeta[] overload, concludes the sibling is safe, and writes:    var sorted = TransactionRecord.sortV0Accounts(merged);   // canonical v0 order   var v0 = Transaction.createTx(ix, len, sorted, table);    // silently permutes `sorted`   var legacyTwin = Transaction.createTx(ix, len, sorted);   // now non-canonical  With sorted = {payer(signer,write), writeY(write, not in table), writeX(write, in table), program(invoked, readonly)}, the first call leaves sorted = {payer, writeY, program, writeX}. The legacy build at line 176 writes accounts in array order and derives the header from flags: numRequiredSignatures=1, numReadonlySignedAccounts=0, numReadonlyUnsignedAccounts=1. The runtime derives writability from position, so indices 1..2 (writeY and `program`) are treated as writable and index 3 (writeX) as readonly — the program id is granted write access and the account the instruction actually needs to write is readonly. The transaction is rejected or executes with the wrong permissions. The same permutation also breaks any Arrays.binarySearch/parallel-index structure the caller kept over `sorted`.	The javadoc documents the in-place caller-array mutation on only one of the two public createTx overloads that perform it; the sibling AddressLookupTable overload runs the identical compaction and stays silent, and the documented overload delegates to it.	A consumer builds `sorted = TransactionRecord.sortV0Accounts(map)` and calls `Transaction.createTx(ixs, len, sorted, table)` (the single-AddressLookupTable overload). Lines 298-306 compact `sorted` in place, so it returns partitioned as {message accounts..., lookup accounts...} and is no longer in VO_META_COMPARATOR order. The consumer, having read no warning on that overload, reuses `sorted` for a second call with a different lookup table that does not carry those accounts. The previously-skipped writable accounts are now included, producing a wire account list ordered payer(write,signer), program(readonly), lookupA(write), lookupB(write) with numReadonlyUnsignedAccounts=1 - so the runtime reads the last non-signer as the readonly one and grants the program account write privilege while stripping it from a writable account.
wf_82d378e6-c04#abe5fed68ac09f4b1#findings#1 | wf_82d378e6-c04#a101acdbb64eb4236#findings#2				wf_82d378e6-c04	Transaction.java	435	435	The new `///` block sits below the commented-out deprecation lines, so uncommenting them — the stated in-file TODO — silently drops the entire block from the generated javadoc.	The file's TODO reads "deprecate once v1 transactions are active on mainnet". When a maintainer actions it and uncomments lines 433-434, the source becomes `/// @deprecated ...` / `@Deprecated` / `/// With one or more lookup tables, ...` / `static Transaction createTx(...)`. javac 25 with -Xlint:all then reports `warning: [dangling-doc-comments] documentation comment is not attached to any declaration` pointing at the NEW block, and only the `@deprecated` line binds to the method. The build still succeeds, so the in-place-mutation warning disappears from the published javadoc for 25.12.0+ with nothing but a lint warning to notice it — exactly when the deprecation makes consumers more likely to be reading the doc.	The new javadoc enumerates the method's mutation of `sortedAccounts` but omits that it also mutates the caller's `LookupTableAccountMeta` objects — and does so only when two or more tables are passed.	A caller holds `final var metas = LookupTableAccountMeta.createMetas(tables)` and passes it to `createTx`. With two or more tables the method calls `reset()` on every element (450-451) and then accumulates accounts into them via `addAccountIfExists` (479); with exactly one table it takes `tableAccountMetas[0].lookupTable()` (447) and leaves the metas untouched. So a caller who builds two transactions from the same `metas` array on two threads gets interleaved `reset()`/`addAccountIfExists` and two transactions whose lookup sections index the wrong accounts, while a caller who pre-populates metas and passes exactly one sees them survive — opposite behaviours from one signature, neither documented. The retired acceptance's own reasoning leans on this mutation ("the table metas already captured those lookup accounts").
wf_82d378e6-c04#abe5fed68ac09f4b1#findings#2 | wf_82d378e6-c04#a101acdbb64eb4236#findings#3				wf_82d378e6-c04	Transaction.java	438	438	The zero-table clause is literally true but presents a destructive path as a benign rebuild: it discards the caller's fee-payer designation and every account not referenced by an instruction, and downgrades the result to a legacy message.	A caller resolves lookup tables at runtime and gets none back, so tableAccountMetas is a zero-length array (e.g. from LookupTableAccountMeta.createMetas(emptyCollection)). They call Transaction.createTx(List.of(memoIx), len, sortV0Accounts(merged), metas) where `merged` was built with a separate fee payer via AccountMeta.createFeePayer(payer) that no instruction references. Line 445 dispatches to createTx(instructions), which is createTx((AccountMeta) null, instructions) — mergeAccounts is called with a null fee payer (TransactionRecord.java:94-96), so the payer is never merged in. The returned transaction omits the payer from the account list entirely, numRequiredSignatures is 0, sigLen is 1, and TransactionRecord.feePayer is null. The caller ships an unsignable transaction with no signature slot, or NPEs on tx.feePayer(). The doc's "rebuilds from instructions" gives no hint that the account set shrinks. The Map-taking sibling at line 421 does not have this behaviour: with an empty array it calls createTx(instructions, serializedInstructionLength, sortLegacyAccounts(mergedAccounts)) and keeps every merged account including the fee payer.	The new zero-table sentence is true but stops short of the consequence that matters: because the fee-payer designation exists only in `sortedAccounts`, ignoring that array discards it, and the resulting transaction has a null fee payer and an arbitrary account 0.	A caller resolves lookup tables, finds none, and calls `createTx(ixs, len, sortV0Accounts(mergeAccounts(AccountMeta.createFeePayer(payer), map, ixs)), new LookupTableAccountMeta[0])`. Line 444-445 routes to `createTx(instructions)` -> `createTx((AccountMeta) null, instructions)` -> `mergeAccounts(null, ...)`, so no meta with `feePayer() == true` reaches the sort. `LEGACY_META_COMPARATOR` (TransactionRecord.java:30-44) then returns 0 for any two equal-privilege metas, leaving account 0 to whichever writable signer HashMap iteration order happens to yield, and `TransactionRecord.feePayer()` is null. If the payer signs no instruction it is absent from the message entirely and the transaction cannot be paid. The javadoc's "rebuilds from `instructions`" reads as a benign fallback.
wf_82d378e6-c04#abe5fed68ac09f4b1#findings#2 | wf_82d378e6-c04#a3f92776d639e4d5d#findings#1				wf_82d378e6-c04	Transaction.java	438	438	The zero-table clause is literally true but presents a destructive path as a benign rebuild: it discards the caller's fee-payer designation and every account not referenced by an instruction, and downgrades the result to a legacy message.	A caller resolves lookup tables at runtime and gets none back, so tableAccountMetas is a zero-length array (e.g. from LookupTableAccountMeta.createMetas(emptyCollection)). They call Transaction.createTx(List.of(memoIx), len, sortV0Accounts(merged), metas) where `merged` was built with a separate fee payer via AccountMeta.createFeePayer(payer) that no instruction references. Line 445 dispatches to createTx(instructions), which is createTx((AccountMeta) null, instructions) — mergeAccounts is called with a null fee payer (TransactionRecord.java:94-96), so the payer is never merged in. The returned transaction omits the payer from the account list entirely, numRequiredSignatures is 0, sigLen is 1, and TransactionRecord.feePayer is null. The caller ships an unsignable transaction with no signature slot, or NPEs on tx.feePayer(). The doc's "rebuilds from instructions" gives no hint that the account set shrinks. The Map-taking sibling at line 421 does not have this behaviour: with an empty array it calls createTx(instructions, serializedInstructionLength, sortLegacyAccounts(mergedAccounts)) and keeps every merged account including the fee payer.	The new zero-table sentence describes that branch as a neutral rebuild, omitting that it silently downgrades the result from versioned/v0 to legacy format and discards the fee-payer designation carried only by sortedAccounts.	A caller with a v0 pipeline holds `sortedAccounts` containing `AccountMeta.createFeePayer(payer)` for a payer that only pays and appears in no instruction, plus an empty `LookupTableAccountMeta[]` because no ALT applied this time. Line 444 routes to `createTx(instructions)`, which at line 64 passes a null AccountMeta to line 47, so `TransactionRecord.mergeAccounts(null, ...)` (TransactionRecord.java:94-96) never puts the payer into the map. The returned transaction is legacy-format (sortLegacyAccounts + MSG_HEADER_LENGTH at line 206, no VERSIONED_BIT_MASK) and omits the payer entirely: `tx.feePayer()` is null, numRequiredSignatures is one lower than the caller expects, and signature slot 0 belongs to a different account. Nothing in the javadoc predicts either the format change or the dropped payer.
wf_82d378e6-c04#abe5fed68ac09f4b1#findings#3 | wf_82d378e6-c04#a3efb6ffccb75787b#findings#3				wf_82d378e6-c04	Transaction.java	443	443	`tableAccountMetas` is dereferenced without a null check while every sibling overload treats null as "no lookup tables", and the new doc's "With no lookup tables" phrasing invites passing null.	Transaction.createTx(instructions, len, sortedAccounts, (LookupTableAccountMeta[]) null) throws NullPointerException at line 443 instead of building a transaction. A caller who reads the new sentence "With no lookup tables, rebuilds from instructions..." and passes the null they got back from a table resolver gets an NPE, even though createTx(List, int, Map, LookupTableAccountMeta[]) at line 421 and createTx(AccountMeta, List, AddressLookupTable, LookupTableAccountMeta[]) at line 97 both explicitly accept null and route to the no-table path.	The new sentence "With no lookup tables, rebuilds from `instructions`" invites passing `null` for `tableAccountMetas` - which every sibling overload accepts as "no tables" - but this overload dereferences it unguarded and throws NullPointerException.	`Transaction.createTx(instructions, len, sortedAccounts, (LookupTableAccountMeta[]) null)` throws NullPointerException at Transaction.java:443, whereas the adjacent `Transaction.createTx(instructions, len, mergedAccountsMap, (LookupTableAccountMeta[]) null)` returns a legacy transaction. A consumer migrating from the Map overload to the array overload - the migration the new javadoc is written to support - gets a crash where the doc promised a legacy rebuild.
wf_82d378e6-c04#a3efb6ffccb75787b#findings#0 | wf_82d378e6-c04#a101acdbb64eb4236#findings#0				wf_82d378e6-c04	Transaction.java	266	266	The sibling public overload `createTx(List, int, AccountMeta[], AddressLookupTable)` mutates the caller's array identically but received none of the new javadoc, so the delta documents only one of the two array-mutating entry points.	A consumer reads the new warning on the `LookupTableAccountMeta[]` overload (Transaction.java:435-438), learns to clone, and then uses the single-table overload, which carries no warning: `final var accounts = skeleton.parseAccounts(); final var txA = Transaction.createTx(ixs, len, accounts, tableA); final var txB = Transaction.createTx(ixs, len, accounts, tableB);`. The first call permutes `accounts` into [message accounts][tableA-loaded accounts]. The second call classifies against tableB, so a writable account that tableA loaded but tableB does not is now positioned in the front group *after* readonly accounts. `numReadonlyUnsignedAccounts` (Transaction.java:296-297) still counts it as writable, but the message header's readonly-suffix contract is keyed to position, so `txB` grants write privilege to the wrong index. No exception is thrown; the transaction is only rejected or mis-privileged on-chain.	The sibling single-table overload `createTx(List, int, AccountMeta[], AddressLookupTable)` compacts the caller's `sortedAccounts` in place exactly as the newly documented overload, but carries no javadoc — and the documented overload delegates to it for the one-table case.	A consumer builds one v0-sorted array `[payer, W1, W2, P(invoked,read), R1(read)]` and reuses it for two transactions. Call 1: `createTx(ixs, len, sorted, tableA)` where tableA holds W2 — the loop at 298-306 leaves the array as `[payer, W1, P, R1, W2]`. Call 2: `createTx(ixs, len, sorted, tableB)` where tableB holds R1 instead — the loop now walks the already-permuted array and produces an included front of `[payer, W1, P, W2]` with `numReadonlyUnsignedAccounts = 1`. The runtime reads the header as "the last unsigned account is readonly", so W2 (a real writable account) is serialized readonly and P (a program account) is serialized writable. The transaction serializes without error and mis-privileges accounts. Nothing at the declaration warns the caller; the documented sibling at line 439 says "Pass a clone to preserve the input array's order" and this one says nothing.
wf_82d378e6-c04#a3efb6ffccb75787b#findings#0 | wf_82d378e6-c04#a676e2a7da0603a63#findings#0				wf_82d378e6-c04	Transaction.java	266	266	The sibling public overload `createTx(List, int, AccountMeta[], AddressLookupTable)` mutates the caller's array identically but received none of the new javadoc, so the delta documents only one of the two array-mutating entry points.	A consumer reads the new warning on the `LookupTableAccountMeta[]` overload (Transaction.java:435-438), learns to clone, and then uses the single-table overload, which carries no warning: `final var accounts = skeleton.parseAccounts(); final var txA = Transaction.createTx(ixs, len, accounts, tableA); final var txB = Transaction.createTx(ixs, len, accounts, tableB);`. The first call permutes `accounts` into [message accounts][tableA-loaded accounts]. The second call classifies against tableB, so a writable account that tableA loaded but tableB does not is now positioned in the front group *after* readonly accounts. `numReadonlyUnsignedAccounts` (Transaction.java:296-297) still counts it as writable, but the message header's readonly-suffix contract is keyed to position, so `txB` grants write privilege to the wrong index. No exception is thrown; the transaction is only rejected or mis-privileged on-chain.	The sibling public overload `createTx(List, int, AccountMeta[], AddressLookupTable)` compacts the caller's array in place exactly as the newly documented overload does, but the delta leaves it with no javadoc at all.	A consumer builds `sortedAccounts` once and calls `Transaction.createTx(instructions, len, sortedAccounts, lookupTable)` (line 266) for a single table. The loop at lines 298-306 rotates included accounts to the front, so `sortedAccounts` comes back reordered. Reading only the declarations, the consumer sees the warning on the four-table overload (lines 435-438) and nothing on this one, concludes this overload is safe, and reuses the array — for a second `createTx` call, or to resolve `sortedAccounts[i]` by an index computed before the call — and silently gets the wrong account.
wf_82d378e6-c04#a3efb6ffccb75787b#findings#0 | wf_82d378e6-c04#a0126e6bfdab0dac6#findings#0				wf_82d378e6-c04	Transaction.java	266	266	The sibling public overload `createTx(List, int, AccountMeta[], AddressLookupTable)` mutates the caller's array identically but received none of the new javadoc, so the delta documents only one of the two array-mutating entry points.	A consumer reads the new warning on the `LookupTableAccountMeta[]` overload (Transaction.java:435-438), learns to clone, and then uses the single-table overload, which carries no warning: `final var accounts = skeleton.parseAccounts(); final var txA = Transaction.createTx(ixs, len, accounts, tableA); final var txB = Transaction.createTx(ixs, len, accounts, tableB);`. The first call permutes `accounts` into [message accounts][tableA-loaded accounts]. The second call classifies against tableB, so a writable account that tableA loaded but tableB does not is now positioned in the front group *after* readonly accounts. `numReadonlyUnsignedAccounts` (Transaction.java:296-297) still counts it as writable, but the message header's readonly-suffix contract is keyed to position, so `txB` grants write privilege to the wrong index. No exception is thrown; the transaction is only rejected or mis-privileged on-chain.	Only one of the two public array-taking createTx overloads got the new in-place-mutation javadoc; the AddressLookupTable overload compacts the caller's array identically and is still undocumented — and it is the code path the documented overload's own one-table promise is delegated to.	A consumer holds its own sorted AccountMeta[] and calls Transaction.createTx(instructions, serializedInstructionLength, sorted, lookupTable) (the AddressLookupTable overload at line 266). Lines 273-320 permute `sorted` in place exactly as the documented overload does — message accounts to the front, lookup accounts to the tail. The caller then reuses `sorted` (for a second transaction, or to map account index -> meta) and gets the permuted array: with input [payer, lookupA, lookupB, program] the array is [payer, program, lookupA, lookupB] on return, so index-based lookups and any second createTx call read the wrong accounts. Nothing at the declaration warns them. The same consumer reading the newly documented 4-arg overload is told 'With one or more lookup tables, compacts sortedAccounts in place' — but the one-table case is delivered by line 447 delegating to this undocumented sibling, so the documented sentence is realized by a method whose own signature carries no such notice.
wf_82d378e6-c04#a3efb6ffccb75787b#findings#0 | wf_82d378e6-c04#a3f92776d639e4d5d#findings#0				wf_82d378e6-c04	Transaction.java	266	266	The sibling public overload `createTx(List, int, AccountMeta[], AddressLookupTable)` mutates the caller's array identically but received none of the new javadoc, so the delta documents only one of the two array-mutating entry points.	A consumer reads the new warning on the `LookupTableAccountMeta[]` overload (Transaction.java:435-438), learns to clone, and then uses the single-table overload, which carries no warning: `final var accounts = skeleton.parseAccounts(); final var txA = Transaction.createTx(ixs, len, accounts, tableA); final var txB = Transaction.createTx(ixs, len, accounts, tableB);`. The first call permutes `accounts` into [message accounts][tableA-loaded accounts]. The second call classifies against tableB, so a writable account that tableA loaded but tableB does not is now positioned in the front group *after* readonly accounts. `numReadonlyUnsignedAccounts` (Transaction.java:296-297) still counts it as writable, but the message header's readonly-suffix contract is keyed to position, so `txB` grants write privilege to the wrong index. No exception is thrown; the transaction is only rejected or mis-privileged on-chain.	The javadoc documents the in-place caller-array mutation on only one of the two public createTx overloads that perform it; the sibling AddressLookupTable overload runs the identical compaction and stays silent, and the documented overload delegates to it.	A consumer builds `sorted = TransactionRecord.sortV0Accounts(map)` and calls `Transaction.createTx(ixs, len, sorted, table)` (the single-AddressLookupTable overload). Lines 298-306 compact `sorted` in place, so it returns partitioned as {message accounts..., lookup accounts...} and is no longer in VO_META_COMPARATOR order. The consumer, having read no warning on that overload, reuses `sorted` for a second call with a different lookup table that does not carry those accounts. The previously-skipped writable accounts are now included, producing a wire account list ordered payer(write,signer), program(readonly), lookupA(write), lookupB(write) with numReadonlyUnsignedAccounts=1 - so the runtime reads the last non-signer as the readonly one and grants the program account write privilege while stripping it from a writable account.
wf_82d378e6-c04#a101acdbb64eb4236#findings#0 | wf_82d378e6-c04#a676e2a7da0603a63#findings#0				wf_82d378e6-c04	Transaction.java	266	266	The sibling single-table overload `createTx(List, int, AccountMeta[], AddressLookupTable)` compacts the caller's `sortedAccounts` in place exactly as the newly documented overload, but carries no javadoc — and the documented overload delegates to it for the one-table case.	A consumer builds one v0-sorted array `[payer, W1, W2, P(invoked,read), R1(read)]` and reuses it for two transactions. Call 1: `createTx(ixs, len, sorted, tableA)` where tableA holds W2 — the loop at 298-306 leaves the array as `[payer, W1, P, R1, W2]`. Call 2: `createTx(ixs, len, sorted, tableB)` where tableB holds R1 instead — the loop now walks the already-permuted array and produces an included front of `[payer, W1, P, W2]` with `numReadonlyUnsignedAccounts = 1`. The runtime reads the header as "the last unsigned account is readonly", so W2 (a real writable account) is serialized readonly and P (a program account) is serialized writable. The transaction serializes without error and mis-privileges accounts. Nothing at the declaration warns the caller; the documented sibling at line 439 says "Pass a clone to preserve the input array's order" and this one says nothing.	The sibling public overload `createTx(List, int, AccountMeta[], AddressLookupTable)` compacts the caller's array in place exactly as the newly documented overload does, but the delta leaves it with no javadoc at all.	A consumer builds `sortedAccounts` once and calls `Transaction.createTx(instructions, len, sortedAccounts, lookupTable)` (line 266) for a single table. The loop at lines 298-306 rotates included accounts to the front, so `sortedAccounts` comes back reordered. Reading only the declarations, the consumer sees the warning on the four-table overload (lines 435-438) and nothing on this one, concludes this overload is safe, and reuses the array — for a second `createTx` call, or to resolve `sortedAccounts[i]` by an index computed before the call — and silently gets the wrong account.
wf_82d378e6-c04#a101acdbb64eb4236#findings#0 | wf_82d378e6-c04#a0126e6bfdab0dac6#findings#0				wf_82d378e6-c04	Transaction.java	266	266	The sibling single-table overload `createTx(List, int, AccountMeta[], AddressLookupTable)` compacts the caller's `sortedAccounts` in place exactly as the newly documented overload, but carries no javadoc — and the documented overload delegates to it for the one-table case.	A consumer builds one v0-sorted array `[payer, W1, W2, P(invoked,read), R1(read)]` and reuses it for two transactions. Call 1: `createTx(ixs, len, sorted, tableA)` where tableA holds W2 — the loop at 298-306 leaves the array as `[payer, W1, P, R1, W2]`. Call 2: `createTx(ixs, len, sorted, tableB)` where tableB holds R1 instead — the loop now walks the already-permuted array and produces an included front of `[payer, W1, P, W2]` with `numReadonlyUnsignedAccounts = 1`. The runtime reads the header as "the last unsigned account is readonly", so W2 (a real writable account) is serialized readonly and P (a program account) is serialized writable. The transaction serializes without error and mis-privileges accounts. Nothing at the declaration warns the caller; the documented sibling at line 439 says "Pass a clone to preserve the input array's order" and this one says nothing.	Only one of the two public array-taking createTx overloads got the new in-place-mutation javadoc; the AddressLookupTable overload compacts the caller's array identically and is still undocumented — and it is the code path the documented overload's own one-table promise is delegated to.	A consumer holds its own sorted AccountMeta[] and calls Transaction.createTx(instructions, serializedInstructionLength, sorted, lookupTable) (the AddressLookupTable overload at line 266). Lines 273-320 permute `sorted` in place exactly as the documented overload does — message accounts to the front, lookup accounts to the tail. The caller then reuses `sorted` (for a second transaction, or to map account index -> meta) and gets the permuted array: with input [payer, lookupA, lookupB, program] the array is [payer, program, lookupA, lookupB] on return, so index-based lookups and any second createTx call read the wrong accounts. Nothing at the declaration warns them. The same consumer reading the newly documented 4-arg overload is told 'With one or more lookup tables, compacts sortedAccounts in place' — but the one-table case is delivered by line 447 delegating to this undocumented sibling, so the documented sentence is realized by a method whose own signature carries no such notice.
wf_82d378e6-c04#a101acdbb64eb4236#findings#0 | wf_82d378e6-c04#a3f92776d639e4d5d#findings#0				wf_82d378e6-c04	Transaction.java	266	266	The sibling single-table overload `createTx(List, int, AccountMeta[], AddressLookupTable)` compacts the caller's `sortedAccounts` in place exactly as the newly documented overload, but carries no javadoc — and the documented overload delegates to it for the one-table case.	A consumer builds one v0-sorted array `[payer, W1, W2, P(invoked,read), R1(read)]` and reuses it for two transactions. Call 1: `createTx(ixs, len, sorted, tableA)` where tableA holds W2 — the loop at 298-306 leaves the array as `[payer, W1, P, R1, W2]`. Call 2: `createTx(ixs, len, sorted, tableB)` where tableB holds R1 instead — the loop now walks the already-permuted array and produces an included front of `[payer, W1, P, W2]` with `numReadonlyUnsignedAccounts = 1`. The runtime reads the header as "the last unsigned account is readonly", so W2 (a real writable account) is serialized readonly and P (a program account) is serialized writable. The transaction serializes without error and mis-privileges accounts. Nothing at the declaration warns the caller; the documented sibling at line 439 says "Pass a clone to preserve the input array's order" and this one says nothing.	The javadoc documents the in-place caller-array mutation on only one of the two public createTx overloads that perform it; the sibling AddressLookupTable overload runs the identical compaction and stays silent, and the documented overload delegates to it.	A consumer builds `sorted = TransactionRecord.sortV0Accounts(map)` and calls `Transaction.createTx(ixs, len, sorted, table)` (the single-AddressLookupTable overload). Lines 298-306 compact `sorted` in place, so it returns partitioned as {message accounts..., lookup accounts...} and is no longer in VO_META_COMPARATOR order. The consumer, having read no warning on that overload, reuses `sorted` for a second call with a different lookup table that does not carry those accounts. The previously-skipped writable accounts are now included, producing a wire account list ordered payer(write,signer), program(readonly), lookupA(write), lookupB(write) with numReadonlyUnsignedAccounts=1 - so the runtime reads the last non-signer as the readonly one and grants the program account write privilege while stripping it from a writable account.
