id	workflow	list_key	file	line	severity	category	text	scenario
wf_25b7ecd7-e1a#a7e5c015462665642#findings#0	wf_25b7ecd7-e1a	findings	sava-rpc/src/test/java/software/sava/rpc/json/http/client/JsonHttpClientBodyFuzz.java	30	low	doc-accuracy	The F06 rationale states the JDK 26/27 read-ahead gate as "the source reports more bytes or the inflater holds leftover input", but the real gate is `this.in.available() > 0 || n > 26`; leftover input alone is not enough, and the 26-byte threshold is what actually forces the harness's available() to be honest.	A maintainer reads this javadoc and concludes that FragmentedInputStream.available() only has to be non-zero-ish, or that a pessimistic available() is safe whenever the inflater still holds bytes. They replace the honest delegate with a conservative `return 0;` (a realistic "model a network stream" change) and the concatenated-member mode (mode 2) silently stops round-tripping on JDK 26/27 for every input whose inflater leftover lands at 26 bytes or fewer -- readBody returns only the first member and `check` fails with "returned the wrong body in mode 2", or, worse in a differential sense, the harness quietly stops covering the second member. The sentence as written gives no way to predict the buf=30 case above.
wf_aa846c65-57b#a30dcc6f232cda3ed#findings#0	wf_aa846c65-57b	findings	sava-rpc/config/pitest/client-accepted.csv	6	medium	stale-doc-anchor	The two retagged `# line` anchors (`newPostRequest # line 378`, `readInputStream # line 261`) are stale by exactly 3 lines against the working tree, so HARDENING_NOTES.md's claim that only the three `# killed retained` rows have displaced tags is false.	A reviewer triaging the `readInputStream # dead pattern arm` acceptance follows the authoritative anchor the pitest README points at, opens JsonHttpClient.java:261, finds a closing brace, and — per README:104-106 ("a new mutant sits under an old acceptance") — cannot tell whether the acceptance still argues about the right construct. Symmetrically, the next `pitestClient` run's line-drift advisory will report drift on two rows that HARDENING_NOTES has just certified as freshly retagged, so the record and the tool disagree.
wf_aa846c65-57b#a30dcc6f232cda3ed#findings#1	wf_aa846c65-57b	findings	HARDENING_NOTES.md	1149	medium	stale-validation-record	The 2026-09-16 validation counts (623 mutants, 616 killed, "all 23 mutants of the rewritten encoding scan") were measured before the x-gzip clause was added, so they describe source that no longer exists.	The next release checklist reads "623 mutants, 616 killed ... all 23 mutants of the rewritten encoding scan are killed", takes `pitestClient` as owned, and ships without ever mutating the `x-gzip` branch; a surviving mutant there (e.g. CONDITIONALS_BOUNDARY turning `span == 6` into something that also accepts `span >= 6`) would go unrecorded.
wf_aa846c65-57b#a30dcc6f232cda3ed#findings#2	wf_aa846c65-57b	findings	AGAVE_SYNC.md	710	low	incomplete-instruction	"so nothing else there needs touching" is false for a fuzz target registered in any module other than sava-core or sava-rpc — the Upload findings step's `path:` list is hard-coded per module.	Someone follows the checklist, registers `fuzzVanitySubsequence` in sava-vanity and adds `:sava-vanity:fuzzVanitySubsequence` to FUZZ_TARGETS. The budget scales correctly and the target runs, but when Jazzer finds a crash it writes `sava-vanity/crash-*`, which matches no upload path; `if-no-files-found: ignore` suppresses any warning, and the reproducer is lost with the runner.
wf_aa846c65-57b#a30dcc6f232cda3ed#findings#3	wf_aa846c65-57b	findings	HARDENING_NOTES.md	1106	low	count-free-rewrite-changed-meaning	Replacing "the 14 bootstrap seeds" with "the committed regression seeds" turned a dated historical record into a present-tense reference to a set that has since grown to 16.	A later reader trying to reproduce the 11,162,719-execution / seed 631708680 run replays today's 16-file corpus, gets a different execution count, and cannot tell whether the divergence is machine noise or a different seed set.
wf_aa846c65-57b#a30dcc6f232cda3ed#findings#4	wf_aa846c65-57b	findings	sava-rpc/src/test/resources/fuzz/README.md	41	nit	formatting	The edited seeds paragraph leaves line 41 at 110 characters while the rest of the paragraph wraps at ~80; the inserted "repeated, comma-folded, and `x-gzip`-aliased" text was not reflowed.	Cosmetic only: the next edit to this paragraph produces a noisier diff than necessary because the wrap point jumps.
wf_aa846c65-57b#a71b8975892a2dd49#findings#0	wf_aa846c65-57b	findings	sava-rpc/src/main/java/software/sava/rpc/json/http/client/JsonHttpClient.java	197	medium	test-coverage	`RemoveConditionalMutator_EQUAL_IF` on the trailing `codings.regionMatches(true, end - 4, "gzip", 0, 4)` (line 197) survives: no test or fuzz seed ever feeds `listsGzip` an element of exactly 4 characters that is not gzip, nor a 6-character `x-`-prefixed element that is not x-gzip, so nothing distinguishes that condition from constant `true`.	pitestClient mutates line 197's condition to constant true. The mutant classifies any 4-character coding, or `x-` plus any 4 characters, as gzip - e.g. `Content-Encoding: zstd` (RFC 8878, exactly 4 chars) or `x-zstd`. Every test in JsonHttpClientBodyTests still passes and every committed httpBody seed still replays clean (and the *Fuzz* class is excluded from the suite's targetTests anyway), so PIT reports `software.sava.rpc.json.http.client.JsonHttpClient,listsGzip,RemoveConditionalMutator_EQUAL_IF,SURVIVED`, which is not in client-accepted.csv and fails the gate. Re-running the same probe with "zstd" added to the corpus kills it (`[zstd] false->true`) and leaves zero survivors.
wf_b1cb3341-11b#a85960406769985c0#findings#0	wf_b1cb3341-11b	findings	sava-rpc/src/test/resources/fuzz/README.md	13	medium	docs-accuracy	The `httpBody` corpus is declared a **bootstrap** corpus, but by the repo's own stated criterion it is a regression corpus — its seeds buy no coverage, and the README's own justification paragraph silently excludes it.	sava-core's README ends its definition with "Judge a proposed seed against the job its corpus does." A future contributor (or a `fuzzMinimize` review) reading `httpBody` as bootstrap will keep a seed on the grounds that it "buys coverage" the mutator cannot reach, when in fact every one of these inputs is reachable from scratch in seconds and the only job these seeds do is deterministic replay inside `check` plus a landing place for findings. The same misreading blocks the opposite call: minimizing this corpus is safe in a way it is not for `token2022`/`txSkeleton`, and the bootstrap label says otherwise.
wf_b1cb3341-11b#a85960406769985c0#findings#1	wf_b1cb3341-11b	findings	sava-rpc/config/pitest/client-accepted.csv	5	medium	docs-accuracy	Three `JsonHttpClient` rows keep line tags this branch invalidated, and `# line 143` now names an unrelated void call the branch added — while HARDENING_NOTES.md:1097 states the retag writer "refreshed source-line metadata", implying the file's anchors are current.	A future triage pass opens client-accepted.csv, follows the authoritative anchor for `JsonHttpClient,gzipBufferSize,VoidMethodCallMutator ... # line 143`, and lands on `cancellation.cancel(false)` in `withResponseDeadline` — a plausible-looking VoidMethodCallMutator site in a method `gzipBufferSize` has nothing to do with. Meanwhile HARDENING_NOTES.md:1097 ("The prescribed retag writer refreshed source-line metadata without changing any accepted row's meaning") reads as a statement that the file's metadata is now current, so the reader has no reason to distrust the tag.
wf_b1cb3341-11b#a85960406769985c0#findings#2	wf_b1cb3341-11b	findings	AGENTS.md	390	low	docs-accuracy	AGENTS.md still says the local `fuzzAll` release campaign covers "eight targets"; this commit registers a ninth, and the fuzz.yml multiplier bump 8→9 was made without updating the matching prose.	A release engineer follows AGENTS.md:381-391 to pick `-PmaxParallelFuzzTargets`, budgets machine load for eight concurrent targets, and runs `:sava-core:fuzzAll :sava-rpc:fuzzAll` at that width — which is now nine. AGENTS.md itself names the consequence this sizing exists to avoid: a load-sensitive PIT `RUN_ERROR` whose diagnosis depends on a quiet re-run.
wf_b1cb3341-11b#a85960406769985c0#findings#3	wf_b1cb3341-11b	findings	sava-rpc/src/test/resources/fuzz/README.md	35	low	docs-accuracy	The `httpBody` section summarises the 14 seeds in one sentence instead of naming what each seed pins, breaking the per-seed format every other corpus section in this file and in sava-core's README uses, so no individual seed can be judged or safely removed.	A later `fuzzMinimize` or a contributor trimming the corpus drops `gzip_oversized_length` as redundant with `gzip_negative_length` — the names suggest overlap — and silently removes the only seed that drives the `NumberFormatException` arm of `gzipBufferSize(HttpResponse)` (JsonHttpClient.java:222-224) through the replay test inside `check`. The README gives no way to notice, because it never says which seed owns which shape.
wf_b1cb3341-11b#ac1029e0e015c609b#findings#0	wf_b1cb3341-11b	findings	sava-rpc/src/main/java/software/sava/rpc/json/http/client/JsonHttpClient.java	152	low	coverage-gap	The new scheduler seam is never exercised with a scheduler that actually gets used, so nothing pins that it passes `scheduler` through to `withResponseDeadline` rather than silently using the common pool, and the comment claiming it serves "timer-lifecycle tests" is untrue.	Replace `scheduler` with `ForkJoinPool.commonPool()` at line 160 (i.e. make the seam ignore its own parameter). All 68 focused tests still pass and the client PIT run still reports 597/604 with the same seven survivors, because the only test that reaches the seam never lets the scheduler be used. A future test that arms a deadline through the seam and asserts `scheduler.delayNanos` would then be measuring a timer that never went to the recording scheduler at all — or, worse, a negative assertion ("this route schedules nothing") would pass vacuously while a real timer sat on the common pool. Cheap fix: give the seam one success-path test with a non-rejecting stub HttpClient asserting `scheduleCalls == 1` and `delayNanos == responseDeadlineNanos(request, requestTimeout)`, which would additionally pin line 160's deadline derivation with a unit test instead of the 1-second wall-clock `theDeadlineRespectsATimeoutOverriddenByExtendRequest`.
wf_b1cb3341-11b#ac1029e0e015c609b#findings#1	wf_b1cb3341-11b	findings	sava-rpc/src/main/java/software/sava/rpc/json/http/client/JsonHttpClient.java	207	low	docs-accuracy	The Content-Length clamp javadoc and the in-memory-buffer javadoc are one unterminated `///` block attached to `gzipBufferSize(int)`, so its `@return` describes a header this method never reads and `gzipBufferSize(HttpResponse)` is left undocumented (branch defect from c534044, not from the target commit).	A reader (or `javadoc -private`) of `gzipBufferSize(int compressedLength)` is told its return value "falls back to the minimum when the header is absent or unparseable" — that method has no header and no fallback; it is a plain `Math.clamp` of the caller-supplied compressed length. The method that actually does the header fallback, `gzipBufferSize(HttpResponse)` at line 218, carries no documentation, so the two long paragraphs explaining why the header is untrusted and why Solana nodes never send it are attached to the wrong method.
wf_b1cb3341-11b#a4e04482a98f30396#findings#0	wf_b1cb3341-11b	findings	sava-rpc/src/test/java/software/sava/rpc/json/http/client/JsonHttpClientDeadlineTests.java	139	low	test-soundness	The two already-settled-response tests pin their headline claim with a self-referential `assertEquals(scheduleCalls, timerCancels)` that also holds at 0 == 0, so neither test can fail for the reason its name and message state.	PIT's NonVoidMethodCall-style mutation of `final var cancellation = scheduler.schedule(...)` (replace the call with null) leaves `scheduleCalls` at 0 and `timerCancels` at 0, and the resulting NPE in the `whenComplete` action is swallowed into the dependent future that `withResponseDeadline` discards. Both `anAlreadyCompletedResponseImmediatelyCancelsTheTimerAndKeepsItsResult` and `anAlreadyFailedResponseImmediatelyCancelsTheTimerAndKeepsItsCause` pass that mutant green (0 == 0) even though no timer was ever scheduled or cancelled; only the unrelated `theCancellationIsScheduledForExactlyTheDeadlineAndCancelsAPendingResponse` assertion `assertEquals(1, scheduler.scheduleCalls.get())` kills it. The same holds for a hand refactor that early-returns when `response.isDone()`: the tests would still claim to have verified "immediately cancels the timer".
wf_b1cb3341-11b#a997d4ef830e78804#findings#0	wf_b1cb3341-11b	findings	sava-rpc/src/test/java/software/sava/rpc/json/http/client/JsonHttpClientBodyFuzz.java	52	medium	coverage-gap	The mutator has no reach into the wire bytes at all — every body handed to readBody is GZIPOutputStream output modulo three fixed one-byte edits — so the target cannot generate the one malformed shape that readBody silently accepts: a valid gzip member followed by non-member bytes.	A hostile or buggy provider/CDN returns `Content-Encoding: gzip` with a valid member carrying `{"result":[...` followed by any trailing bytes (padding, a truncated second member, a re-transmitted fragment). readBody returns only the first member's bytes and throws nothing, so the caller parses a silently truncated JSON-RPC document. Neither the 14 seeds nor 11,162,719 fuzz executions can reach that byte sequence, because no mode emits a valid member followed by non-member bytes, and no test in the commit pins the behaviour.
wf_b1cb3341-11b#a997d4ef830e78804#findings#1	wf_b1cb3341-11b	findings	sava-rpc/src/test/java/software/sava/rpc/json/http/client/JsonHttpClientBodyFuzz.java	28	low	docs-accuracy	The harness javadoc's claim that the stream's accurate available() is what "lets the JDK gzip reader discover a following concatenated member" describes pre-JDK-25 behaviour; on JDK 25 nothing in the read path ever calls the source stream's available().	Not a test failure: FragmentedInputStream.available() (line 225) is dead weight that the javadoc presents as load-bearing. A maintainer trimming the harness keeps a no-op override, or concludes that concatenated-member coverage is a property of the harness's stream model when it is the JDK's unconditional retry; anyone chasing a future concat regression on this evidence is looking at the wrong lever.
wf_b1cb3341-11b#a997d4ef830e78804#findings#2	wf_b1cb3341-11b	findings	HARDENING_NOTES.md	1104	low	docs-accuracy	The note's claim that "the prescribed retag writer refreshed source-line metadata" is not what the committed CSV shows: three of the five JsonHttpClient accepted rows still carry pre-branch line numbers.	Baseline identity is line-less, so nothing breaks; but a reviewer using the accepted list to re-justify a survivor reads `gzipBufferSize ... line 143` and lands in the deadline scheduler, and the hardening note asserts a completed refresh that would stop anyone from re-running the retag writer.
wf_b1cb3341-11b#ace24045ffa9b07d8#findings#0	wf_b1cb3341-11b	findings	sava-rpc/src/test/java/software/sava/rpc/json/http/client/JsonHttpClientBodyFuzz.java	28	low	docs-accuracy	The harness javadoc credits accurate `available()` reporting with letting the JDK gzip reader discover a concatenated member, but JDK 25's GZIPInputStream.readTrailer never calls `available()` at all, so the claim is false and the `FragmentedInputStream.available()` override it justifies (line 225) is dead code on every JDK this project targets.	A reader extending this target — e.g. adding a mode that models a real HttpResponseInputStream, or reusing FragmentedInputStream elsewhere — reads line 28 and concludes that accurate `available()` is load-bearing for mode 2's concatenated-gzip round-trip property, and either preserves an override the code under test never calls or, worse, concludes that the round-trip property is an artefact of the model and does not hold for network bodies. Both conclusions are wrong on JDK 25/26: concatenated-member discovery is unconditional there. The README repeats the same framing at sava-rpc/src/test/resources/fuzz/README.md:32.
wf_b1cb3341-11b#a116275ad690b085e#findings#0	wf_b1cb3341-11b	findings	sava-rpc/src/test/java/software/sava/rpc/json/http/client/JsonHttpClientBodyFuzz.java	137	medium	coverage-gap	The harness's "encoding-header shape" selector models a multi-encoding response only as two separate field lines, so it cannot reach the RFC-canonical comma-joined form `Content-Encoding: identity, gzip`, which `isGzipEncoded` silently fails to recognise and hands the caller still-compressed bytes.	A caching proxy or CDN in front of an RPC provider combines the two `Content-Encoding` field lines it received (or an origin writes `Content-Encoding: identity, gzip` / `gzip, identity` directly, both RFC-legal). `isGzipEncoded` returns false, `readBytes`/`readInputStream` return the raw deflate bytes unchanged, and the JSON parser is handed binary — an opaque parse failure on every response from that path, with no diagnostic pointing at the encoding. Neither the 14 seeds nor the 11,162,719 fuzz executions can produce that header, because no encoding shape in the harness ever puts two tokens in one field value.
wf_b1cb3341-11b#a116275ad690b085e#findings#1	wf_b1cb3341-11b	findings	sava-rpc/src/test/java/software/sava/rpc/json/http/client/JsonHttpClientCancellationTests.java	42	low	flakiness	The only new transport test gives the whole cancellation round trip a 1-second socket budget when its attribution argument only needs it to beat the 8-second request timeout, and a slow cancellation surfaces as a bare SocketTimeoutException rather than the assertion message, making a load flake indistinguishable from a real regression.	On a loaded GitHub-hosted runner during `check`, or under `pitestClient` with several minion JVMs competing for the same cores, the 0-delay common-pool task plus exchange teardown takes just over 1 s. The server thread's `input.read()` throws SocketTimeoutException, which escapes the callable, so `peerClosed.get(2, TimeUnit.SECONDS)` at line 82 fails with `ExecutionException: java.net.SocketTimeoutException` and the assertion message "the deadline must close the underlying connection" is never printed. A re-run passes, and the failure is byte-for-byte the same one a genuinely missing transport cancellation would produce — exactly the load-sensitive, re-run-dependent diagnosis AGENTS.md:390-394 says this repo keeps meeting.
wf_e8f1fc4b-1cd#a0ce90b4feab40530#findings#0	wf_e8f1fc4b-1cd	findings	HARDENING_NOTES.md	46	should-fix		The record's closing sentence claims the on-disk certification and fuzz receipts belong to this adoption's commit, but no certification or fuzz campaign was run and every receipt on disk was produced on 2026-09-05 under sava-build 21.5.32. It drops the one word the 21.5.32 precedent used to keep exactly this claim honest.	
wf_e8f1fc4b-1cd#a0ce90b4feab40530#findings#1	wf_e8f1fc4b-1cd	findings	HARDENING_NOTES.md	31	should-fix		The "What moved between 21.5.32 and 21.5.35" paragraph is a field-level copy of installed plugin task behavior — receipt schema row names with their column contents, and a task flag — which the digest-pinned template bullet tells consumer notes to replace with a hardeningHelp pointer. It has no counterpart in the 21.5.32 precedent, and it is what makes this "concise" record longer (36 lines) than its predecessor (24 lines) while covering strictly less local work (no rebases, no row census, no mutant census, no certification).	
wf_e8f1fc4b-1cd#a0ce90b4feab40530#findings#2	wf_e8f1fc4b-1cd	findings	AGENTS.md	529	nit		The edited pin paragraph was not re-wrapped: the insertion leaves a 36-character orphan line in the middle of a paragraph that otherwise flows at 74-81 characters.	
wf_e8f1fc4b-1cd#a6a9698b9df74bacc#findings#0	wf_e8f1fc4b-1cd	findings	HARDENING_NOTES.md	46	should-fix		The entry's closing sentence — "The certification and fuzz receipts under `.pitest-history/` record their own outcomes against the commit that carries this entry" — asserts something that is not true and reads as if 21.5.35 certification/fuzz evidence exists. No certification or fuzz run happened under 21.5.35; the receipts on disk are the 21.5.32 ones, unchanged.	
wf_e8f1fc4b-1cd#a6a9698b9df74bacc#findings#1	wf_e8f1fc4b-1cd	findings	HARDENING_NOTES.md	39	should-fix		"so the certification preflight was expected to name no transition and no `BaselineRebase` was planned" is a prediction, not an observation, but it sits in a paragraph of observations and directly precedes the (also unrun) receipts sentence. A reader will take it as 'the preflight was run and named no transition'. The preflight was never run.	
wf_e8f1fc4b-1cd#a6a9698b9df74bacc#findings#2	wf_e8f1fc4b-1cd	findings	jmh/README.md	22	should-fix		jmh/README.md still tells the reader the JMH convention plugin is "resolved from the sibling `../sava-build` checkout". That is the pre-published-pin model; the jmh build now resolves a pinned published version, which is exactly the third pin this task moved. This is the one tracked place besides the pins and AGENTS.md that describes how sava-build reaches this repo, and it contradicts the statement the task did update.	
wf_e8f1fc4b-1cd#a6a9698b9df74bacc#findings#3	wf_e8f1fc4b-1cd	findings	HARDENING_NOTES.md	31	nit		The "What moved between 21.5.32 and 21.5.35, as it reaches this repo" list reads as an enumeration but omits two behavior changes in that range that do reach a consumer.	
wf_e8f1fc4b-1cd#a6a9698b9df74bacc#findings#4	wf_e8f1fc4b-1cd	findings	HARDENING_NOTES.md	43	nit		"`test --rerun check` with the build cache disabled" — the build-cache clause is the one part of the sentence with no supporting evidence. The substance (tests actually ran) is well evidenced; the clause itself is not.	
wf_e8f1fc4b-1cd#a6a9698b9df74bacc#findings#5	wf_e8f1fc4b-1cd	findings	AGENTS.md	529	nit		The edit left a short line mid-paragraph, breaking the file's otherwise uniform ~78-column fill.	
wf_e8f1fc4b-1cd#aba46b2a45643c971#findings#0	wf_e8f1fc4b-1cd	findings	sava/HARDENING_NOTES.md	46	should-fix		"The certification and fuzz receipts under `.pitest-history/` record their own outcomes against the commit that carries this entry." Stated in the present tense, this is false: the only receipts on disk are the 21.5.32 ones, they were produced against a commit that is not even an ancestor of HEAD, and `.pitest-history/` is gitignored so no commit can ever carry them.	
wf_e8f1fc4b-1cd#aba46b2a45643c971#findings#1	wf_e8f1fc4b-1cd	findings	sava/HARDENING_NOTES.md	43	should-fix		"`test --rerun check` with the build cache disabled" — the build cache being disabled is not supported by any evidence, and the repo's own configuration enables it.	
wf_e8f1fc4b-1cd#aba46b2a45643c971#findings#2	wf_e8f1fc4b-1cd	findings	sava/HARDENING_NOTES.md	31	should-fix		"What moved between 21.5.32 and 21.5.35, as it reaches this repo: ..." reads as an enumeration but omits at least three consumer-visible changes documented in the same HARDENING.md diff, including one that changes what the plugin prints after every `pitest<Suite>` run.	
wf_e8f1fc4b-1cd#aba46b2a45643c971#findings#3	wf_e8f1fc4b-1cd	findings	sava/HARDENING_NOTES.md	17	nit		"Every adoption invocation explicitly cleared `savaBuildLocalRepo`" cannot be verified from the evidence, and the identity output offered as its corroboration cannot distinguish "explicitly cleared" from "never set".	
wf_e8f1fc4b-1cd#aba46b2a45643c971#findings#4	wf_e8f1fc4b-1cd	findings	sava/HARDENING_NOTES.md	14	nit		"All three plugin pins now resolve the published `software.sava:sava-build:21.5.35` artifact, including the separate JMH build. `savaBuildIdentity` reported that coordinate..." — `savaBuildIdentity` was run only in the root build; the JMH build's pin has no identity evidence.	
wf_f908b7d5-fb7#aa236e5e4e1949fad#findings#0	wf_f908b7d5-fb7	findings	<scratchpad>		should-fix		The fuzz bundle's integrity manifest fails its own verification: SHA256SUMS.txt includes a self-entry that records the empty-file hash, so the canonical check `shasum -a 256 -c SHA256SUMS.txt` prints `./SHA256SUMS.txt: FAILED` and exits non-zero. The 18 content entries are correct, but a reviewer running the standard command on the bundle the draft advertises gets a failure line that reads like tampering.	
wf_f908b7d5-fb7#a6105e7306a822735#findings#0	wf_f908b7d5-fb7	findings	evidence/HANDOFF-DRAFT.md		should-fix		False. The sysvar coverage-phase cost advisory (289 ms) is NEW on 09-12; it does not appear in the 09-05 certification summary. Two 09-05 advisories are also gone, which the draft does not mention.	
wf_f908b7d5-fb7#a6105e7306a822735#findings#1	wf_f908b7d5-fb7	findings	evidence/HANDOFF-DRAFT.md		should-fix		False on both the set of suites and the client count. Seven suites printed prune-candidate previews this run, not two, and client's preview is 11 rows / 11 unique keys, not 2.	
wf_f908b7d5-fb7#a6105e7306a822735#findings#2	wf_f908b7d5-fb7	findings	evidence/HANDOFF-DRAFT.md		should-fix		Incomplete: five suites reset their timeout-retirement quiet-run counter this run, not two.	
wf_f908b7d5-fb7#a6105e7306a822735#findings#3	wf_f908b7d5-fb7	findings	evidence/HANDOFF-DRAFT.md		nit		Understated: configurationSha256 also moved, for all four sava-rpc suites (while every sava-core suite's configurationSha256 is unchanged). The stated toolchain-columns-unchanged claim itself is correct.	
wf_f908b7d5-fb7#a6105e7306a822735#findings#4	wf_f908b7d5-fb7	findings	evidence/HANDOFF-DRAFT.md		nit		Not directly enumerable from the retained evidence; it is an inference from the build passing, not something the log states per mutant.	
wf_f908b7d5-fb7#a8d26111da16046cd#findings#0	wf_f908b7d5-fb7	findings	HANDOFF-DRAFT.md		blocker		"Prune-candidate previews (no baseline change) printed for client (2 rows) and decimal (2 rows)." Both the row count for client and the set of suites are wrong: seven suites printed prune previews, and client printed 11 rows, not 2. Observation 3 repeats the error as an action item ("client and decimal each show 2 prune candidates after one preview"), so a reader would act on a false candidate count.	
