row_id	label	reader_a	reader_b	adjudicated	reason
sava#52dce85#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaJsonRpcWebsocket.java#SolanaJsonRpcWebsocket.connect()	unaffected	unaffected	unaffected	no	Callbacks still route by socket identity with onOpen carrying the generation; changed return values and build restructuring are outside the comment's claims.
sava#442addf#sava-core/src/main/java/software/sava/core/tx/Transaction.java#Transaction.exceedsSizeLimit()	unaffected	unaffected	unaffected	no	Only the declaring class of MAX_SERIALIZED_LENGTH_LEGACY moved; the default still applies the legacy limit the comment describes.
sava#a44220f#sava-core/src/main/java/software/sava/core/tx/TransactionSkeleton.java#TransactionSkeleton.prototypeTransaction(Instruction[])	unaffected	unaffected	unaffected	no	Compute budget filtering extracted to withoutComputeBudgetInstructions; filtering, carried-over values and unset-limit handling described by the comment are unchanged.
sava#b24a296#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaJsonRpcWebsocket.java#SolanaJsonRpcWebsocket.buildReservedAttempt(long, CompletableFuture<WebSocket>)	unaffected	unaffected	unaffected	no	Only whitespace in the requireNonNull/buildAsync call changed; the helper's release edges and outcome handling are untouched.
http-servers#696ce3c#http-servers-sava/src/main/java/software/sava/http_servers/sava/x402/SvmExactVerifier.java#SvmExactVerifier.verify(PaymentRequirements, byte[])	unaffected	unaffected	unaffected	no	Comment only says it verifies bytes against requirements; the labeled-block refactor keeps the same rejection outcomes.
incident-client#61c84ba#incident-core/src/main/java/software/sava/incident/core/api/IncidentClients.java#IncidentClients.loadFactory(String)	unaffected	unaffected	unaffected	no	Resolution delegated to the two-argument overload with the same ServiceLoader; the described case/punctuation-insensitive matching claim still holds.
sava#dabfe20#sava-core/src/main/java/software/sava/core/tx/Transaction.java#Transaction.numAccounts()	unaffected	unaffected	unaffected	no	Comment describes the returned unique-account count; adding a default delegating body changes nothing it states or describes.
sava#0d68f02#sava-core/src/main/java/software/sava/core/accounts/sysvar/Rent.java#Rent.minimumBalance(long)	needs_addition	needs_addition	needs_addition	no	Return meaning still holds, but change adds IllegalArgumentException for out-of-range dataLength and saturation the one-line comment omits.
sava#0d4f07a#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaJsonRpcWebsocket.java#SolanaJsonRpcWebsocket.sendSubscription(Connection, Subscription<?>)	unaffected	unaffected	unaffected	no	Recall-before-dispatch and answer-clock claims still hold; change only alters wire-ordinal lifecycle on failed sends, which comment never mentions.
sava#82987fe#sava-core/src/main/java/software/sava/core/tx/TransactionRecord.java#TransactionRecord.priorityFeeLamportsToComputeUnitPrice(long, int)	unaffected	unaffected	unaffected	no	Conversion, cap, round-up and MAX_VALUE saturation all still true; change only tightens the overflow threshold the comment states generically.
sava#52dce85#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaRpcWebsocket.java#SolanaRpcWebsocket$Builder.connectTimeout(long)	contradicted_by_change	contradicted_by_change	contradicted_by_change	no	Comment says the value budgets the handshake; new default accepts nothing and unconditionally throws unsupportedTiming.
ravina#e88e05b#ravina-solana/src/main/java/software/sava/services/solana/transactions/TxMonitorService.java#TxMonitorService.createService(ChainItemFormatter, RpcCaller, EpochInfoService, WebSocketManager, Duration, Duration, TxPublisher, Duration, int)	unaffected	unaffected	unaffected	no	Nullable transactionPublisher claim untouched; change only delegates to a clock-taking overload, adding no parameter or condition the comment describes.
sava#52dce85#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaJsonRpcWebsocket.java#SolanaJsonRpcWebsocket.ownBuild(CompletableFuture<WebSocket>, long)	unaffected	unaffected	unaffected	no	Comment's unconditional abort-when-unauthorized claim still holds; removing the adopted-socket exemption it never mentioned only makes it more exact.
incident-client#00a96ee#incident-webhook/src/main/java/software/sava/incident/webhook/BaseWebhookIncidentClientFactory.java#BaseWebhookIncidentClientFactory.format(WebhookConfig)	unaffected	unaffected	unaffected	no	Only visibility changed; the returned format, config usage and IllegalStateException claims are untouched.
json-iterator#2f07ba7#json-iterator/src/main/java/systems/comodal/jsoniter/BaseJsonIterator.java#BaseJsonIterator.skipLiteral(String, String, String)	needs_addition	needs_addition	contradicted_by_change	yes	Char-at-a-time validation and truncation-as-invalid-literal still hold; removing loadMore drops refill for the buffer-ends-inside-literal case the comment frames.
sava#05a4294#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaJsonRpcWebsocket.java#SolanaJsonRpcWebsocket$Connection.killedSubIds	unaffected	unaffected	unaffected	no	Comment describes only the recorded ids, lock guarding and consumption; the map's value type change is not something it states.
sava#91bc814#sava-core/src/main/java/software/sava/core/accounts/PublicKey.java#PublicKey.createOffCurveAccountWithAsciiSeed(PublicKey, String, PublicKey)	unaffected	unaffected	unaffected	no	Comment describes seed encoding and nonce order only; the tightened length-limit boundary and message are not things it states.
json-iterator#eb87b90#systems.comodal.json_iterator/src/main/java/systems/comodal/jsoniter/JsonIterator.java#JsonIterator.readNull()	unaffected	unaffected	unaffected	no	Comment claims only advance-and-true versus stay-and-false; dropping the IOException declaration touches nothing it describes.
sava#b24a296#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaJsonRpcWebsocket.java#SolanaJsonRpcWebsocket.deliverEscalation(Connection, Throwable)	unaffected	unaffected	unaffected	no	Change is spelling-only inside body comments; delivery after retirement and ping-failure-specific callback both remain exactly as described.
sava#6bdbfb1#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaJsonRpcWebsocket.java#SolanaJsonRpcWebsocket.flushPendingUnSubscriptions(Connection, long)	unaffected	unaffected	unaffected	no	Only an extra fingerprint argument to the send call; due-flushing, retry-window waiting, and returning nothing are unchanged.
sava#8fc443d#sava-core/src/main/java/software/sava/core/accounts/PublicKey.java#PublicKey.createWithSeed(PublicKey, String, PublicKey)	unaffected	unaffected	unaffected	no	Seed still UTF-8 encoded via a helper, limit still measured on those bytes, PDA-marker owner still rejected.
ravina#5578c86#ravina-solana/src/main/java/software/sava/services/solana/epoch/EpochInfoServiceImpl.java#EpochInfoServiceImpl.checkCycle(Cycle, boolean)	needs_addition	needs_addition	needs_addition	no	Comment enumerates returns; change adds a null-sample path returning true without refreshing, while false narrows to the closed client.
sava#52dce85#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaJsonRpcWebsocket.java#SolanaJsonRpcWebsocket.releaseChannelSlot(Subscription<?>)	unaffected	unaffected	unaffected	no	Second program registry is another application of the same identity-based per-key removal the comment describes; no stated claim changes.
sava#6e70c7d#sava-core/src/main/java/software/sava/core/tx/TxBuilderImpl.java#TxBuilderImpl.createTransaction()	unaffected	unaffected	unaffected	no	One-line comment claims only that it builds a SIMD-0385 v1 transaction; added encodability checks are below its level of detail.
sava#52dce85#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/Subscription.java#Subscription.notificationMethod()	needs_addition	needs_addition	contradicted_by_change	yes	Both documented sources still hold (generic registrations override the default); the default adds an undescribed null outcome when no channel exists.
sava#dabfe20#sava-core/src/main/java/software/sava/core/tx/Transaction.java#Transaction.setPriorityFeeLamports(long)	needs_addition	needs_addition	needs_addition	no	v1 and legacy/v0 behaviours still hold, but the new default adds an UnsupportedOperationException outcome the comment never mentions.
sava#442addf#sava-core/src/main/java/software/sava/core/tx/Transaction.java#Transaction.signInOrder(SequencedCollection<Signer>, byte[], int, int, int)	unaffected	unaffected	unaffected	no	Inlining the delegation keeps iteration-order signing into consecutive slots, caller-supplied offsets, and absence of key matching or layout validation.
json-iterator#eb87b90#systems.comodal.json_iterator/src/main/java/systems/comodal/jsoniter/JsonIterator.java#JsonIterator.applyChars(CharBufferFunction<R>)	unaffected	unaffected	unaffected	no	Comment describes construction from chars and null shortcut only; dropping the declared IOException touches nothing the comment mentions.
sava#b4c0afe#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaJsonRpcWebsocket.java#SolanaJsonRpcWebsocket.adopt(WebSocket, long)	unaffected	unaffected	unaffected	no	Comment claims only conditional installation on the authorized attempt; generation check and install remain, and escalation/demand ordering is below its detail level.
sava#57bd947#sava-core/src/main/java/software/sava/core/tx/Transaction.java#Transaction.signInOrder(SequencedCollection<Signer>)	unaffected	unaffected	unaffected	no	Change adds only an internal note; body still delegates to sign(signers), so ordering claims and delegation claim remain true.
sava#b24a296#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaJsonRpcWebsocket.java#SolanaJsonRpcWebsocket.claimPingDeadlineTransition(PingDeadlineTransition)	unaffected	unaffected	unaffected	no	Only a local variable was inlined into the return; both CAS losers still return null, so every claim holds.
sava#b4c0afe#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaJsonRpcWebsocket.java#SolanaJsonRpcWebsocket.startBuild(long, CompletableFuture<WebSocket>)	needs_addition	needs_addition	needs_addition	no	Comment's bridge-identity account stays true, but a new precondition throw on a null bridge is an added outcome it omits.
sava#b4c0afe#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaJsonRpcWebsocket.java#SolanaJsonRpcWebsocket.recordFailedPing(Connection, PingProbe, Throwable)	needs_addition	needs_addition	needs_addition	no	Locked transition now also moves the connection to PING_FAILED, a third published fact the comment's enumeration of that transition omits.
glam-sdk-java#9278933#services/src/main/java/systems/glam/services/rpc/AccountFetcherImpl.java#AccountFetcherImpl.failCurrentBatches(RuntimeException)	unaffected	unaffected	unaffected	no	Snapshot-under-lock restructuring keeps draining, exceptional completion of completable batches, and re-queueing of callback batches exactly as described.
sava#52dce85#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaJsonRpcWebsocket.java#SolanaJsonRpcWebsocket.escalateUnanswered(Connection, long)	contradicted_by_change	contradicted_by_change	contradicted_by_change	no	Comment says the connection is "aborted here", but conn.socket.abort() was removed; the method now only returns the exception.
sava#52dce85#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaJsonRpcWebsocket.java#SolanaJsonRpcWebsocket.retainedRegistrations()	unaffected	unaffected	unaffected	no	Adding keyedProgramSubs to the sum is already covered by "summed across every registry"; the test-seam claim is unchanged.
incident-client#00a96ee#incident-webhook/src/main/java/software/sava/incident/webhook/WebhookFormats.java#WebhookFormats.renderPlainText(IncidentAlert)	unaffected	unaffected	unaffected	no	Only visibility widened to public; the comment's claims about plain markup-free multi-line rendering remain exactly true and nothing it describes changed.
sava#dd4baa5#rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaJsonRpcWebsocket.java#SolanaJsonRpcWebsocket.transactionSubscribe(Commitment, boolean, boolean, Collection<PublicKey>, Collection<PublicKey>, Collection<PublicKey>, TransactionDetails, boolean, Consumer<TxResult>)	contradicted_by_change	contradicted_by_change	contradicted_by_change	no	Comment claims the subscription is supported under Helius Business/Professional plans; subscribe path is commented out so the method now always returns false.
sava#dabfe20#sava-core/src/main/java/software/sava/core/tx/Transaction.java#Transaction.setPriorityFeeLamportsFromComputeUnitPrice(long, int)	contradicted_by_change	contradicted_by_change	contradicted_by_change	no	Comment describes setting limit, converting price and returning a transaction; new_source only throws UnsupportedOperationException, so none of that holds.
sava#6bdbfb1#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaJsonRpcWebsocket.java#SolanaJsonRpcWebsocket$Connection.escalated	unaffected	unaffected	unaffected	no	Adding volatile changes only memory visibility; the stated at-most-once-per-connection escalation invariant still holds and the comment describes no threading detail.
sava#2c70f78#sava-core/src/main/java/software/sava/core/accounts/SolanaAccounts.java#SolanaAccounts.stakeConfig()	contradicted_by_change	contradicted_by_change	contradicted_by_change	no	Comment asserts the member is deprecated; the change removes @Deprecated, so the deprecation status it states no longer holds of new_source.
sava#b3a2a1c#sava-core/src/main/java/software/sava/core/tx/TxBuilder.java#TxBuilder.buildV1()	unaffected	unaffected	unaffected	no	Change is an addresses-to-accounts rename of locals, constant and messages; comment only claims it builds a SIMD-0385 v1 transaction, still true.
sava#05a4294#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaJsonRpcWebsocket.java#SolanaJsonRpcWebsocket.equivalentRequests(Subscription<?>, Subscription<?>)	unaffected	unaffected	unaffected	no	Inlined substring comparison replaced by requestFingerprint, which the bundle describes as everything after the request id; the comment's equivalence claim still holds.
sava#b4c0afe#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaJsonRpcWebsocket.java#SolanaJsonRpcWebsocket.handlePendingSubscriptions(Connection)	unaffected	unaffected	needs_addition	yes	Comment describes return generically as off-lock throwable or null; claimed ping failure is such a delivery, and no enumerated case is removed.
ravina#5578c86#ravina-solana/src/main/java/software/sava/services/solana/epoch/EpochInfoServiceImpl.java#EpochInfoServiceImpl.start()	unaffected	unaffected	unaffected	no	Closed detection moved from null result to a closed flag; start still returns null only on a closed first fetch, comment intact.
sava#b4c0afe#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaJsonRpcWebsocket.java#SolanaJsonRpcWebsocket.connectionFor(WebSocket)	unaffected	unaffected	unaffected	no	Change reworded pingFailure's own note and added a lifecycle enum constant; the comment's connection-scoping and field-idiom claims are untouched and still true.
sava#00348f3#sava-core/src/main/java/software/sava/core/tx/Transaction.java#Transaction.exceedsInstructionLimit()	unaffected	unaffected	unaffected	no	Comment's limit claims hold; change only qualifies MAX_INSTRUCTIONS with BaseTransaction, altering no described input, output, or condition.
ravina#5578c86#ravina-solana/src/main/java/software/sava/services/solana/epoch/SlotPerformanceStats.java#SlotPerformanceStats.calculateStats(List<PerfSample>, int, int)	unaffected	unaffected	unaffected	no	Bounding-to-range claim still true; added positivity validation is an error condition the one-line comment never described, like the existing min>max throw.
sava#05a4294#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaJsonRpcWebsocket.java#SolanaJsonRpcWebsocket.sendUnSubscriptionLockHeld(Connection, String, BigInteger)	unaffected	unaffected	unaffected	no	Registration, single-flight, re-queue on failure, and inFlightSends claims all still hold; comment never described the subscribes-ahead set replaced by a wire ordinal.
sava#dabfe20#sava-core/src/main/java/software/sava/core/tx/TransactionSkeleton.java#TransactionSkeleton.heapSize()	unaffected	unaffected	unaffected	no	Requested-heap and zero-when-unrequested claims still hold; change only supplies a default delegating to a deserialized skeleton's same-contract heapSize.
sava#dabfe20#sava-core/src/main/java/software/sava/core/tx/Transaction.java#Transaction.setComputeUnitLimit(int)	needs_addition	needs_addition	contradicted_by_change	yes	Legacy/v0/v1 outcome statements still hold for overriding implementations; the new default adds an unsupported-implementation UnsupportedOperationException outcome the comment omits.
sava#7f336b4#sava-rpc/src/main/java/software/sava/rpc/json/http/client/SolanaRpcClient.java#SolanaRpcClient.getMultipleAccounts(SequencedCollection<PublicKey>, BiFunction<PublicKey, byte[], T>)	unaffected	needs_addition	unaffected	yes	Only @Deprecated removed; skipping, RPC mismatch and the getAccounts recommendation all still hold, and the comment never claims deprecation status.
incident-client#0c778ee#incident-core/src/main/java/software/sava/incident/core/json/JsonUtil.java#JsonUtil.escapeJsonRemoveNewLines(String)	unaffected	unaffected	unaffected	no	New body still strips line feeds and carriage returns then escapes; comment describes no null handling or delegation target that changed.
sava#dabfe20#sava-core/src/main/java/software/sava/core/tx/Transaction.java#Transaction.setAccountDataSizeLimit(int)	needs_addition	needs_addition	contradicted_by_change	yes	Clamping and legacy/v0/v1 statements still true for overriders; the new default adds an unsupported-implementation exception outcome the comment does not describe.
sava#5aa18c5#sava-core/src/main/java/software/sava/core/tx/TransactionSkeleton.java#TransactionSkeleton.createTransaction(LookupTableAccountMeta[])	unaffected	unaffected	unaffected	no	Comment states the contract: creates a transaction after resolving accounts via lookup metadata; abstracting the default body changes nothing it claims.
sava#dabfe20#sava-core/src/main/java/software/sava/core/tx/Transaction.java#Transaction.setHeapSize(int)	needs_addition	needs_addition	needs_addition	no	Comment's version-specific behaviours still hold, but the new default adds an UnsupportedOperationException outcome the detailed comment would need to mention.
sava#05a4294#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaJsonRpcWebsocket.java#SolanaJsonRpcWebsocket.deferredBuild(long, AttemptListener)	needs_addition	needs_addition	needs_addition	no	Locked check-then-build claim still true, but the change adds registering the built future as inFlightBuild inside that same locked step.
sava#0f6e808#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaJsonRpcWebsocket.java#SolanaJsonRpcWebsocket.consumerThrew(String, RuntimeException)	unaffected	unaffected	unaffected	no	Logging, non-aborting, and reaching exception subscribers all still hold; inlined loop merely became a dispatchException call.
sava#f91ad69#sava-core/src/main/java/software/sava/core/tx/V1TransactionSkeleton.java#V1TransactionSkeleton.requireIncludedInstructionAccount(AccountMeta[], int)	contradicted_by_change	contradicted_by_change	contradicted_by_change	no	Comment says v1 refuses to return null metas; new_source returns null when accountIndex is below numAccounts but beyond accounts.length.
sava#dabfe20#sava-core/src/main/java/software/sava/core/tx/TransactionSkeleton.java#TransactionSkeleton.priorityFeeLamports()	unaffected	unaffected	unaffected	no	Fee semantics described for v1 and legacy/v0 still hold; the new default merely deserializes a skeleton and delegates the same computation.
json-iterator#db15a1b#json-iterator/src/main/java/systems/comodal/jsoniter/JsonIterator.java#JsonIterator.readLongArray()	unaffected	unaffected	unaffected	no	Reads numbers into long[] with null as empty array still holds; the loop was replaced by readLongArray(8) with same initial size.
sava#dabfe20#sava-core/src/main/java/software/sava/core/tx/Transaction.java#Transaction.exceedsSignatureLimit()	unaffected	unaffected	unaffected	no	New default checks v1 signer count against MAX_V1_SIGNATURES and yields false for legacy/v0, exactly what the comment states.
